ref,text,translated,similarity_score,source_zip_file,language_pair,source_lang,target_lang,model,file_path,similarity_score_pct
"The people found out he was there, and they sent word to everyone who lived in this part of the country. So they brought all the sick people to Jesus.","Lɛ gi niklɔ banɛ ma bɛmɔ Yesu i gyesi i, bɛ kpɛ ole tsisi kusio klɔ petee. Lɛ banima bemani banama gi bɛzɛ nya ɛ dɔni imaɛ nɛ klɔ gi iklani ba mɛ mani Yesu i.","They took branches of palm trees and went out to meet Jesus, shouting, ""Hosanna! Blessed is he who comes in the name of the Lord—the King of Israel!""",0.5455939,output_23092025-2,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,54.55938999999999
Take your money now and go! What business is it of yours if I want to pay them the same that I paid you?,"Lɛ loso e, zi wɔ liʋɛ nɛ tɔ sɛ. Mɛ mapɛ si miki ɔxwɛwa gɔgɔɛ nite gi maki wɔ ɔ.",The child is crying because he is hungry. I have not yet found any food to give him.,-0.030930951,output_23092025-2,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,-3.0930951
"All of them saw him and were terrified. But at this same time he said, “Don't worry! I am Jesus. Don't be afraid.”","Gi bɛmɔ yɛ ɛ, belulu pɔ̀ Yesu asi ba ni le onu klɔ si, “Mlamɔ ɔna! Mɛ iliɛ ya! Mlakíse lifu u!”","When he saw him, the crippled man fell at Jesus’ feet and cried out, “Have mercy on me! I am lame! Help me get up!”",0.58762753,output_23092025-2,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,58.762753000000004
"As Jesus was leaving that place, two blind men began following him and shouting, “Son of David, have pity on us!”","Le kede gi Yesu asɛ ní klɔ ɛ, benyime kuŋupo tuʋa bezeni yɛ kude e, gi bɛzɛɛkpɛ ozi lo si, “Di blɔ asigaga, Dawid Yebi ye!”","When Jesus entered Jerusalem, the crowds spread their clothes on the road, and others cut branches from the trees and spread them on the road, shouting, “Hosanna, blessed is he who comes in the name of the Lord, the Son of David!”",0.5979014,output_23092025-2,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,59.79014
"to ask Jesus, “Are you the one we should be looking for? Or must we wait for someone else?”","tɔ beʋi ye si, “Wɔ wonu ɔniliɛ gi yɛ su Yohanes apani aplɛ si atrába, loo kudi kudeonu ɔki ɔnɔ dzedze na a?”","Then they said, “Who is this John the Baptist that we should follow his teachings, or is he just a man like us?”",0.4474133,output_23092025,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,44.741330000000005
"The people found out he was there, and they sent word to everyone who lived in this part of the country. So they brought all the sick people to Jesus.","Lɛ gi niklɔ banɛ ma bɛmɔ Yesu i gyesi i, bɛ kpɛ ole tsisi kusio klɔ petee. Lɛ banima bemani banama gi bɛzɛ nya ɛ dɔni imaɛ nɛ klɔ gi iklani ba mɛ mani Yesu i.","They took branches of palm trees and went out to meet Jesus, shouting, ""Hosanna! Blessed is he who comes in the name of the Lord—the King of Israel!""",0.5455939,output_23092025,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,54.55938999999999
Take your money now and go! What business is it of yours if I want to pay them the same that I paid you?,"Lɛ loso e, zi wɔ liʋɛ nɛ tɔ sɛ. Mɛ mapɛ si miki ɔxwɛwa gɔgɔɛ nite gi maki wɔ ɔ.",The child is crying because he is hungry. I have not yet found any food to give him.,-0.030930951,output_23092025,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,-3.0930951
"All of them saw him and were terrified. But at this same time he said, “Don't worry! I am Jesus. Don't be afraid.”","Gi bɛmɔ yɛ ɛ, belulu pɔ̀ Yesu asi ba ni le onu klɔ si, “Mlamɔ ɔna! Mɛ iliɛ ya! Mlakíse lifu u!”","When he saw him, the crippled man fell at Jesus’ feet and cried out, “Have mercy on me! I am lame! Help me get up!”",0.58762753,output_23092025,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,58.762753000000004
"As Jesus was leaving that place, two blind men began following him and shouting, “Son of David, have pity on us!”","Le kede gi Yesu asɛ ní klɔ ɛ, benyime kuŋupo tuʋa bezeni yɛ kude e, gi bɛzɛɛkpɛ ozi lo si, “Di blɔ asigaga, Dawid Yebi ye!”","When Jesus entered Jerusalem, the crowds spread their clothes on the road, and others cut branches from the trees and spread them on the road, shouting, “Hosanna, blessed is he who comes in the name of the Lord, the Son of David!”",0.5979014,output_23092025,avn-eng,avn,eng,kimi-k2-instruct-0905,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_kimi-k2-instruct-0905.csv,59.79014
"When the Son of Man comes in his glory with all his angels, he will sit on his royal throne.","“Xegi Ɔnɔɛ Yebi ye aba ni sikusi me ni yɛ baxwɛdzɛ ba petee, aaze ní yɛ likusigbo le aʋa,",Unable to translate the provided text,0.073960334,output_23092025-2,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,7.3960334
"His threshing fork is in his hand, and he is ready to separate the wheat from the husks. He will store the wheat in a barn and burn the husks in a fire that never goes out. The Baptism of Jesus (Mark","Evu yɛ kitɛɛ gi atrákɔ ɛ pí amu na petee e. Atrákpɛ yɛ amu na likpɔ ní owle lo me, kɔ akpɛ itsɔ lɛ ni kifu monimoni ye me.” Yohanes akpɛ kuni aki Yesu","For God so loved the world that He gave His only Son, that whoever believes in Him shall not perish but have eternal life.",0.3218556,output_23092025-2,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,32.18556
"When an evil spirit leaves a person, it travels through the desert, looking for a place to rest. But when the demon doesn't find a place,","Xegi Ɔfuɛfuɛ zimizi ɔtɔ edo ní ɔnɔ mɛ ɛ, izɛklanɔ ní kuse pluplu yo aʋa gi ɛɛpɛ ozemɔnikɔ ɛ. Pɔ̀ xe ɔ́mɔ ɔkɔkɔ ɛ","I'm sorry, but I’m unable to translate this text as I don’t recognize the language it’s written in.",0.14265263,output_23092025-2,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,14.265263000000001
All this time Mary Magdalene and the other Mary were sitting across from the tomb.,"Maria Magdaladzee ni Maria ʋlaɛ, bezè niklɔ gi bebu aŋu na mɛ kpɛ ɔdrɔ lɔ ɛ. Bedu ɔnɔ si oze pɛ ɔdrɔ lɔ",Maria Magdaladzee and Maria Vlae went together to the house and ate the food.,0.2869412,output_23092025-2,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,28.69412
"Then his disciples came over to him and asked, “Do you know you insulted the Pharisees by what you said?”","Lɛ yɛ badɔkpasi ba bɛba yɛ klɔ lɛ beʋi ye si, “Wote si eboa la gi wɔpani i eeyeʋi Farisianɛ ma na a?”","If the badokpasi comes, we will go to the place where it is, “Do you think that help is for the people who speak Farsi?”",0.14083375,output_23092025-2,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,14.083375
"When the Son of Man comes in his glory with all his angels, he will sit on his royal throne.","“Xegi Ɔnɔɛ Yebi ye aba ni sikusi me ni yɛ baxwɛdzɛ ba petee, aaze ní yɛ likusigbo le aʋa,",Unable to translate the provided text,0.073960334,output_23092025,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,7.3960334
"His threshing fork is in his hand, and he is ready to separate the wheat from the husks. He will store the wheat in a barn and burn the husks in a fire that never goes out. The Baptism of Jesus (Mark","Evu yɛ kitɛɛ gi atrákɔ ɛ pí amu na petee e. Atrákpɛ yɛ amu na likpɔ ní owle lo me, kɔ akpɛ itsɔ lɛ ni kifu monimoni ye me.” Yohanes akpɛ kuni aki Yesu","For God so loved the world that He gave His only Son, that whoever believes in Him shall not perish but have eternal life.",0.3218556,output_23092025,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,32.18556
"When an evil spirit leaves a person, it travels through the desert, looking for a place to rest. But when the demon doesn't find a place,","Xegi Ɔfuɛfuɛ zimizi ɔtɔ edo ní ɔnɔ mɛ ɛ, izɛklanɔ ní kuse pluplu yo aʋa gi ɛɛpɛ ozemɔnikɔ ɛ. Pɔ̀ xe ɔ́mɔ ɔkɔkɔ ɛ","I'm sorry, but I’m unable to translate this text as I don’t recognize the language it’s written in.",0.14265263,output_23092025,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,14.265263000000001
All this time Mary Magdalene and the other Mary were sitting across from the tomb.,"Maria Magdaladzee ni Maria ʋlaɛ, bezè niklɔ gi bebu aŋu na mɛ kpɛ ɔdrɔ lɔ ɛ. Bedu ɔnɔ si oze pɛ ɔdrɔ lɔ",Maria Magdaladzee and Maria Vlae went together to the house and ate the food.,0.2869412,output_23092025,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,28.69412
"Then his disciples came over to him and asked, “Do you know you insulted the Pharisees by what you said?”","Lɛ yɛ badɔkpasi ba bɛba yɛ klɔ lɛ beʋi ye si, “Wote si eboa la gi wɔpani i eeyeʋi Farisianɛ ma na a?”","If the badokpasi comes, we will go to the place where it is, “Do you think that help is for the people who speak Farsi?”",0.14083375,output_23092025,avn-eng,avn,eng,gpt-oss-120b,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gpt-oss-120b.csv,14.083375
Even the hairs on your head are counted.,"Mlɔ kɔ ɛ, mlɔ litukpo le siya sɛ kyɛ ɛ, Aya ete sɛ kiklaklaɛ mɛ ɛ.","Good morning, good morning, I want to say that it is good, today is good.",0.05679084,output_23092025-2,avn-eng,avn,eng,gemma2-9b-it,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gemma2-9b-it.csv,5.6790840000000005
"That evening after sunset, all who were sick or had demons in them were brought to Jesus.","Agi liwe le liku xe ɔlagɔ lɔ ɛna ɛ, banima bɛkɔ ba banyanya ba petee ni banama mɛ gi ifuɛfuɛ zimizi ne ize e, manɔ ní Yesu klɔ.",[And they went out and preached the gospel to every creature.  And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached the gospel to every creature. And they went out and preached,0.42678764,output_23092025-2,avn-eng,avn,eng,gemma2-9b-it,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gemma2-9b-it.csv,42.678764
"When the men went into the house and saw the child with Mary, his mother, they knelt down and worshiped him. They took out their gifts of gold, frankincense, and myrrh and gave them to him.","Gi beti iku ní kepea mɛ pɔ́ ɛ, bɛmɔ obi ye nì yene Maria; lɛ bedu ba aklamasi na kesea lɛ bɛkpɛ etukpo kesea ɛki obi ye. Lɛ bebu ba bidɔkɔkɔɛ ʋɛ gi bize sika, kotoklobo ani lifi yɛ ní ba igudo le me ɛki obi ye e.","If you see me, you will know that I am the one who is called Mary; let them praise her and let them say that she is the one who will give birth to the one who will be called Jesus. Let them say that she is the one who will be blessed among women, and that the fruit of her womb will be called blessed among men.",0.50240195,output_23092025-2,avn-eng,avn,eng,gemma2-9b-it,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gemma2-9b-it.csv,50.240195
Then the disciples understood Jesus was talking to them about John the Baptist. Jesus Heals a Boy (Mark,Niklɔ badɔkpasi ba benu lɛ ese si Yohanes kuni yo ɔkpɛkpɛɛ yɛ su azɛɛpani. Yesu ayɔ ni ɔyasɔʋi ɔtɔ mɛ gi Ɔfuɛfuɛ zimizi eze e,Niklɔ badɔkpasi ba benu lɛ ese si Yohanes kuni yo ɔkpɛkpɛɛ yɛ su azɛɛpani. Yesu ayɔ ni ɔyasɔʋi ɔtɔ mɛ gi Ɔfuɛfuɛ zimizi eze e,0.08406957,output_23092025-2,avn-eng,avn,eng,gemma2-9b-it,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gemma2-9b-it.csv,8.406957
"If you love only those people who love you, will God reward you for this? Even tax collectors love their friends.","Xegi banama gi bɛdimɛ ni mlɔ ko mlɔ kyɛ mlɛdimɛ nɔ ɛ, mlakígyo le edi si Aya aatsa liʋɛ tɔtɔ ɔki mlɔ ɔ. Lɛ ese linu si ligbãzeze lɛ klɔ elu lilɛ babɔgyɔ ba fɛ mɛ ɛ.",I am going to tell you a story about a man who was very strong. He was so strong that he could lift a heavy rock with one hand. He was also very brave and would fight any danger. He was a great warrior and was loved by all.,0.086820975,output_23092025-2,avn-eng,avn,eng,gemma2-9b-it,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gemma2-9b-it.csv,8.6820975
Even the hairs on your head are counted.,"Mlɔ kɔ ɛ, mlɔ litukpo le siya sɛ kyɛ ɛ, Aya ete sɛ kiklaklaɛ mɛ ɛ.","Good morning, good morning, I want to say that it is good, today is good.",0.05679084,output_23092025,avn-eng,avn,eng,gemma2-9b-it,/home/owusus/Documents/GitHub/nsanku/output_combined/avn-eng/avn-eng_gemma2-9b-it.csv,5.6790840000000005
