text,ref
"They said , "" Why do we need any more witness ? For we ourselves have heard from his own mouth ! ""","Ameawo gado ɣli sesi ̃ e be , "" Đe mi ́ egahia ̃ ɖasefo bubuwo be woatso ame sia nua ? Gbeɖe ! Mi ́ awo ŋutɔ mi ́ esee wo ̀ gblɔ be Mawu Vie yenye ! """
The people 's response was wholehearted .,Ameawo wɔ nu tso dzi blibo me .
There is nothing devious or crooked in them .,Amebeble alo alakpa aɖeke mele wo me o .
"Following the crowd would not train our perceptive powers ; nor , on the other hand , would a host of rigid rules in matters of conscience .",Ameha yome nɔnɔ mana hehe míaƒe nugɔmesese ƒe ŋutetewo o ; eye nenema kee se sesẽ gbogbo aɖewo dede na mí hã mate ŋu ana hehe míaƒe dzitsinya o .
"Soldiers with drawn rifles and bayonets lined the street . Amid insults , we walked to our cars and drove to Cape Girardeau , Missouri , for the remaining sessions of the assembly .","Amehaawo nɔ mía dzum esime míezɔ ge ɖe míaƒe ʋuwo me heyi Cape Girardeau , le Missouri , hena takpekpea ƒe akpa susɔea wɔwɔ ."
"Who or what is the "" daystar "" that Peter mentioned , and why do you so answer ?","Ameka alo nukae nye "" ŋukeɣletivi "" si Petro yɔ , eye nukatae nèɖo eŋu nenema ?"
"Who barricaded the sea , keeping it in its place ?","Ameka xe mɔ na atsiaƒu , heɖo seɖoƒe nɛ ?"
"Who does not enjoy a beautiful dress , a new pair of shoes , or even something like a brand - new car ?","Amekae kpɔ awu nyui , afɔkpa yeye , alo ʋu yeye gɔ ̃ hã gbe kpɔ ?"
"Who would dare hide "" the key of knowledge "" that leads to eternal life ?","Amekae kpɔ mɔ atsɔ "" sidzedze ƒe safui "" si kplɔa ame yia agbe mavɔ me la aɣla ?"
"Alejandro : Yes , that did surprise me .","Amenyo : Ɛ ̃ , nya ma wɔ nuku nam ."
"Only those anointed ones who prove "" faithful even to death "" will receive the "" crown "" of immortal life in heaven .","Amesiamina siwo awɔ ' nuteƒe va se ɖe keke ku me ke ' la koe axɔ makumakunyenye le dziƒo ƒe "" agbefiakuku "" la ."
The pro - choice camp stands on the grounds of freedom and a woman 's right to decide .,Amesiwo da asi ɖe fuɖeɖe dzi la ʋlia ablɔɖe kple gome si le nyɔnuwo si be woatso nya me la ta .
"Those who worship in ways contrary to God 's Word honor Satan , not Jehovah .","Amesiwo dea ta agu le mɔ siwo mesɔ kple Mawu ƒe Nya o nu la , Satana ŋue wodea bubui , menye Yehowa o ."
Some social commentators worry that the mangled spelling and syntax used in SMS messages is harming the literacy skills of young ones .,Amesiwo dea ŋugble le hadomegbenɔnɔ ŋu dometɔ aɖewo tsi dzimaɖi be nuŋɔŋlɔmɔnu si tɔtɔ kple nuƒoƒo masɔɖegbeŋutisedzi siwo wozãna le Nyakpuiɖoɖoɖa Mɔnua me ate ŋu anɔ nu gblẽm le ɖeviwo ƒe agbalẽnyanya ŋu .
Those most at risk of contracting the disease are intravenous drug users who share needles and people who engage in unprotected sex .,Amesiwo koŋ ate ŋu axɔ dɔa bɔbɔe wue nye amesiwo zãa abui ɖeka ma ke tsɔ doa atike vɔ ̃ ɖi ɖe lãmeka me kple amesiwo dɔna ametakpɔnu mazãmazãe .
"We worked in clubs with strippers , prostitutes , and homosexuals , some of whom would make lewd propositions either to me or to my wife . And the rock - band musicians were often high on drugs .","Amesiwo míewɔ dɔ kplii le ahadzraƒeawo nye fefewɔla siwo te ŋu ɖea avɔ le wo ɖokui ŋu faa , gbolowo , ŋutsu siwo dɔna kple ŋutsuwo , eye wo dometɔ aɖewo doa woƒe agbegbegblẽnɔnya la ɖe gbɔnye alo ɖe srɔ ̃ nye gbɔ ."
Those resurrected will join an unlimited number who survive the end of the present wicked system .,Amesiwo woafɔ ɖe tsitre la ava kpe ame gbogbo aɖewo siwo atsi agbe le nuɖoanyi vɔ ̃ ɖi sia ƒe nuwuwu .
Targets of bullying may stop talking about school or about a particular class or activity at school .,Amesiwo ŋu wowɔa anyra le ate ŋu adzudzɔ nuƒoƒo tso suku ŋu alo klass gobii aɖe alo suku ƒe dɔwɔna aɖe ŋu .
Those who have in mind filling out applications for delegate selection may wish to start saving some of their funds in anticipation of these special events .,Amesiwo ƒe susu me wòle be yewoakpe takpekpedelawo tiatia ƒe mɔbiagbalẽwo ɖo la adi be yewoadze ga dzadzraɖo gɔme ɖe wɔna vevi siawo ŋu .
God 's Name Being Made Known !,Amewo Le Mawu Ƒe Ŋkɔa Nyam !
People were falling and jumping out of the north tower windows .,Amewo nɔ gegem henɔ dzodzom to xɔ kɔkɔ si le dziehe la ƒe fesrewo nu .
Fats,Aminuwo
"This would enable them to continue "" bearing fruit in every good work , "" especially in the preaching of the good news .","Ana hã be ' woayi edzi anɔ ku tsem le dɔ nyui sia dɔ nyui wɔwɔ me , ' vevietɔ le nya nyuia gbɔgblɔ me ."
Ann got pregnant .,Ann fɔ fu .
"Antonio , who lost his father in a road accident , explains : "" It is like somebody sealing up your house and taking away the keys .","Antonio , si fofo ku le ʋufɔku aɖe me la gblɔ be : "" Ele ko abe ɖe ame aɖe va do wò aƒea ƒe ʋɔwo hetsɔ safuiawo dzoe ene ."
Honesty - By Chance or by Choice ?,Anukwareɖiɖi - Numaɖowɔe loo alo Nuɖowɔ Yea ?
It will be a matter of choice .,Anye nusi míaɖo awɔ .
"About three years ago , when Maria was living in Lisbon , Portugal , her beloved dog strayed , and she had this announced over the radio .","Anye ƒe etɔ ̃ e nye si va yi esime Maria nɔ Lisbon , Portugal la , eƒe avu si gbɔ melɔ ̃ a nu lena o bu , eye wòna woɖe gbeƒãe le radio dzi ."
The psalm must have been composed some time after Solomon 's death .,Anye ɣeyiɣi aɖe le Salomo ƒe ku megbee wokpa ha sia .
"( For fully formatted text , see publication ) A map marking the two - month - long trip from Tallinn to the infamous Noril 'sk camp",Anyigba ƒe nɔnɔmetata si fia ɣleti eve ƒe mɔzɔzɔ tso Tallinn yi ɖe Noril 'sk ƒe gakpɔ xɔŋkɔa me
Map only : Based on maps copyrighted by Pictorial Archive ( Near Eastern History ) Est . and Survey of Israel,Anyigbatataa dzaa ko : Based on maps copyrighted by Pictorial Archive ( Near Eastern History ) Est . and Survey of Israel
This earthquake was the fifth strongest since the year 1900 .,Anyigbaʋuʋu siae nye sesẽtɔ atɔ ̃ lia tso ƒe 1900 .
All elders do well to remember that the Scriptures do not give a minimum age for a man to be recommended as a ministerial servant or an elder .,Anyo be hamemetsitsiwo katã naɖo ŋku edzi be Ŋɔŋlɔawo meyɔ ƒe aɖe koŋ si wòle be ŋutsu naxɔ hafi woakafui be woaɖoe subɔsubɔdɔwɔla alo hamemetsitsi o .
"If you store leftovers in the refrigerator , eat them within three to four days .",Anyo be miaɖu nu siwo susɔ mietsɔ de nufamɔ me la le ŋkeke etɔ ̃ alo ene me .
It is also worth noting that allergens do not readily accumulate in a bedstead with a slatted base or in a water bed .,Anyo be nàde dzesii hã be nusiwo hoa dɔ na ame metsia abati si me wode ati suesuewoe alo aŋeba si wodea tsii me bɔbɔe o .
"The "" fine flour "" that Sarah used may have come from emmer wheat or from barley .","Anɔ eme be "" wɔ memee "" si Sara tsɔ mè aboloae la nye esi wotsɔ ƒo , alo lu si woyɔna be emmer la tu ."
You likely have available in your language a translation of the Bible that you can use as a spiritual road map .,"Anɔ eme be Biblia le mia degbe me , si nàte ŋu azã abe mawusubɔsubɔ ŋuti mɔfiamegbalẽ ene ."
It may be that the most dangerous element in Epicurus ' philosophy was also the most subtle .,Anɔ eme be Epikuro ƒe xexemenunyafiafia ƒe akpa si vloe wu ɖesiaɖe hãe flua ame wu .
"Apparently , Miriam took the lead in this move against Moses , for Jehovah disciplined Miriam , not Aaron , with a week - long case of leprosy for her disrespectful conduct . - Numbers 12 : 1 - 15 .","Anɔ eme be Miryam ye xɔ ŋgɔ le tsitretsitsi ɖe Mose ŋu me , elabena Yehowa tsɔ anyidɔ he toe na Miryam kwasiɖa ɖeka ɖe eƒe ame mabumabu nuwɔnaa ta , ke mehe to na Aron o . - Mose IV , 12 : 1 - 15 ."
"Arthur was probably biased , but Violet 's zealous example greatly influenced the next Williams generation .","Anɔ eme be Tɔgbui Arthur Bakewell ɖe ami ɖe eƒe nyaa ya , ke hã Violet ƒe dzonɔamemea kpɔ ŋusẽ gã aɖe ɖe Williams ƒomea ƒe dzidzime siwo va ɖe wo yome la dzi ."
"In the days following the immediate bereavement , a surviving spouse will likely welcome practical help .",Anɔ eme be ame ahiã kpekpeɖeŋu ŋutɔŋutɔ aɖewo le srɔ ̃ a ƒe ku megbe teti .
The aloes of the Bible likely came from Agarwood ( a species of Aquilaria ) .,Anɔ eme be ati si woyɔna be Agarwood ( atiwo ƒe hatsotso si woyɔna be Aquilaria la dometɔ ɖeka ) la mee wokpɔa aloe si ŋu woƒo nu tsoe le Biblia me la tsonɛ .
"About 500 years after Nimrod 's time , Jehovah organized the descendants of faithful Abraham into the nation of Israel to serve as His witness on earth .","Anɔ ƒe 500 le Nimrod ƒe ɣeyiɣia megbe la , Yehowa ƒo nuteƒewɔla Abraham ƒe dzidzimeviwo nu ƒu wozu Israel - dukɔ be woanye Yeƒe ɖasefowo le anyigba dzi ."
"No , for there is no reference to cremation and the preservation or the scattering of the resulting ashes .","Ao , elabena womeƒo nu tso dzotɔtɔame kple dzofia dzadzraɖo alo ehehlẽ ɖi ŋu o ."
"No , he fearlessly continued praying to Jehovah three times a day , as was his custom .","Ao , eyi edzi do gbe ɖa na Yehowa zi etɔ ̃ gbesiagbe vɔvɔ ̃ manɔmee , abe alesi wòwɔna ɖaa ene ."
"The apostle Paul states that Enoch and others making up the great cloud of pre - Christian witnesses ' all died ' and "" did not get the fulfillment of the promise . ""","Apostolo Paulo gblɔ be Henox kple ame bubu siwo nye ɖasefowo do ŋgɔ na Kristotɔwo eye wonye alẽha gã me tɔwo la ' katã ku ' eye "" woƒe asi mesu ŋugbedodo la dzi o . """
"The apostle Paul wrote : "" Keep on making sure of what is acceptable to the Lord . ""","Apostolo Paulo ŋlɔ bena : "" Miyi edzi mianɔ nuwo dom kpɔ , be wodze Aƒetɔ la ŋu hã . """
"Concerning the sort of people that would abound in these "" last days , "" the apostle Paul wrote : "" In the last days critical times hard to deal with will be here .","Apostolo Paulo ŋlɔ le amesiwo tɔgbe abɔ le ' ŋkeke mamlɛ ' siawo me ŋu be : "" Le ŋkeke mamleawo me la ɣeyiɣi vɔ ̃ wo lava ."
"The apostle Paul explains : "" If you belong to Christ , you are really Abraham 's seed . ""","Apostolo Paulo ɖe nu me be : "" Ne Kristo tɔe mienye la , ekema Abraham ƒe dzidzimee mienye vavã . """
"The apostle Peter ' was disposed to remind fellow believers of some things , although they knew them and were firmly set in the truth . '",Apostolo Petro ' ɖo ŋku nanewo dzi na haxɔsetɔwo togbɔ be wonya wo eye wòna woli ke ɖe nyateƒea me gake . '
""" God is not partial , "" stated the apostle Peter , "" but in every nation the man that fears him and works righteousness is acceptable to him . "" - Acts 10 : 34 , 35 .","Apostolo Petro gblɔ bena : "" Mawu mekpɔa ame ŋku me o , hafi boŋ le dukɔ sia dukɔ me , amesi ke vɔ ̃ nɛ , eye wòwɔa nu dzɔdzɔe la , eya dzea eŋu . "" - Dɔwɔwɔwo 10 : 34 , 35 ."
"The apostle Peter describes them as "" false prophets "" and "" false teachers "" who would create "" destructive sects . ""","Apostolo Petro gblɔ le wo ŋu be wonye "" aʋatsonyagblɔɖilawo "" kple "" aʋatsonufialawo "" siwo hea "" gbegblẽ ƒe kɔmamãwo "" vɛ ."
"The apostle Peter confirmed this when he said : "" Throw all your anxiety upon him , because he cares for you . ""","Apostolo Petro ɖo kpe esia dzi , esi wògblɔ be : ' Midro miaƒe dzimaɖitsitsiwo katã ɖe eyama dzi , elabena eléa be na mi . '"
"Aristotle also held that the sun and other celestial objects were perfect , free of any marks or blemishes and not subject to change .","Aristotle xɔe se hã be ɣe kple ɣletinyigba bubuwo katã de blibo , dzesi alo ɖi aɖeke mele wo ŋu o eye womate atrɔ o ."
Asa became the father of Jehoshaphat . Jehoshaphat became the father of Joram . Joram became the father of Uzziah .,"Asa dzi Yehosafat , Yehosafat dzi Yoram , Yoram dzi Uzia ,"
Avoiding Revelry,Asaƒoƒo na Aglotutu Blibaa
Anyone who has seen these creatures with their necks poking out of a zoo enclosure may find it difficult to visualize their true beauty and grace as they run wild and free in the African bush .,Asesẽ na amesi kpɔ nuwɔwɔ siawo le lãwo kpɔƒe wohe ve wòdo ɖe gota be wòakpɔ alesi wonya kpɔna hedze anii ne wole du ƒum le wo ɖokui si le Afrika gbewo me la le susume .
The Rocketing Yen,Asia - nyɔnuwo Nɔa Agbe Didi Wu
The rejection of the hand would signify a rejection of the friendship .,Asiheheɖemegbe afia be medi be yeawɔ xɔ ̃ o .
Letting Go of the Past,Asiɖeɖe le Nusiwo Dzɔ Va Yi Ŋu
It can refer to the harmful practice of smoking or the telling of obscene jokes .,"Ate ŋu afia atama alo sigaret nono , si gblẽa nu le ame ŋu , alo fefenya madzetowo gbɔgblɔ ."
It can refer to strong counsel but does not indicate hostility .,"Ate ŋu afia aɖaŋuɖoɖo aɖe si nu sẽ , gake mefiaa aɖaŋuɖoɖo ameŋumabumabutɔe o ."
It can take up to three years for young crocodiles to reach the same length in the wild .,Ate ŋu axɔ ƒe etɔ ̃ hafi lo si le tɔ gã me ƒe didime naɖo nenema .
Generic drugs are copies of drugs that have been patented by other pharmaceutical companies .,Atike siwo dzi ewɔlawo ƒe ŋkɔ mele o nye atike siwo atikewɔƒe bubuwo kpɔ esiwo dzi ewɔlawo ƒe ŋkɔ le hewɔ .
"Medical authorities point to hormonal and immune system disorders , infections , and abnormalities in the cervix or the uterus of the mother .","Atikenyalawo fia be woate ŋu anye lãmetsiwo kple dɔlélenutsiŋutete ƒe gbegblẽ , dɔxɔxɔwo , kple nanewo siwo gblẽ le vinɔa ƒe vidzidɔ nu alo vidzidɔa ŋu ."
Alexander the Great was so impressed by the beauty of the peacock that he insisted that the bird be protected throughout his realm .,Atsrima ƒe atsyɔ ̃ do dzidzɔ na Aleksanda Gãtɔ ale gbegbe be ede se le eƒe fiaɖuƒea katã me be woakpɔ wo ta .
Both male and female birds share in incubating the eggs and feeding the chicks .,Atsua kple nɔa siaa kpɔa gome le azi dzi dɔdɔ kple wo viwo nyinyi me ɖekae .
"Athens ( Greece ) , 3 / 8","Atsyɔ ̃ ɖoɖo , 8 / 8"
"Philip Jensen , the Anglican dean of Sydney and one of Australia 's most prominent prelates , recently denounced the Archbishop of Canterbury as "" a theological prostitute who was taking his salary under false pretences , "" reports the Australian newspaper The Age .","Australiatɔwo ƒe nyadzɔdzɔgbalẽ si nye The Age ka nya ta be Anglikan - sɔlemea ƒe bisiɔpwo ƒe tatɔ Philip Jensen , si nye woƒe nunɔlagã xɔŋkɔwo dometɔ ɖeka le Sydney , Australia , ƒo nu tsi tre ɖe Canterbury ƒe Bisiɔpgã ŋu nyitsɔ laa be "" enye mawunyafiala ŋukpenanuwɔla si nɔa fetu xɔm to amewo beble dzi . """
The Austria branch has been involved in a stunning victory in a case before the European Commission of Human Rights .,Austria - lɔdzedɔwɔƒea kpɔ gome le dziɖuɖu si na amewo ƒe nu ku la me le nya aɖe si wotsɔ yi Europa ƒe Amegbetɔ ƒe Gomenɔamesiwo ƒe Dɔwɔha gbɔe la me .
"Sooner or later , you will probably be confronted with a particularly powerful enticement - perhaps when you least expect it .","Ava dzɔ godoo be nàva dze ŋgɔ tetekpɔ aɖe si nu ate ŋu asẽ ŋutɔ , ɖewohĩ le ɣeyiɣi si mèle mɔ kpɔm nɛ kura o me ."
Habitat Destruction,Avewo Tsɔtsrɔ ̃
"By means of his Kingdom , which "" will never be brought to ruin . "" - Daniel 2 : 44 .","Awɔ esia to eƒe Fiaɖuƒe "" si matsrɔ ̃ gbeɖegbeɖe o "" la dzi . - Daniel 2 : 44 ."
"Your imagination fills in the blanks with exactly what you want . ""","Awɔ na wò be amesi tututu dim yelee ma yekpɔ . """
"You may feel that behind such doubts , there is a fundamental reason why people are reluctant to believe in miracles .",Awɔ na wò be ɖikeke mawo ɖe susu vevi si ta amewo melɔ ̃ na xɔa nukunuwo dzi sena o la me .
"Accordingly , the joys and blessings of marriage must at times take a backseat to theocratic responsibilities .","Awɔe be ɣeaɖewoɣi la , dzidzɔ kple yayra siwo le srɔ ̃ ɖeɖe me la naxɔ nɔƒe evelia na teokrasigbanɔamedziwo ."
"Ahaz died in 746 B.C.E . , and his son Hezekiah inherited the materially impoverished and spiritually bankrupt kingdom of Judah .","Axaz ku le ƒe 746 D.M.Ŋ . me , eye via Xizkiya xɔ ɖe eteƒe . Ɣemaɣi la , Yuda - dukɔa da ahe eye wodzudzɔ Yehowa subɔsubɔ ."
"Ahithophel , David 's trusted counselor , turned traitor and joined in a rebellion against David .","Axitofel , si nye eƒe aɖaŋuɖola si dzi wòkana ɖo hã va zu egɔmezɔla , eye wòwɔ ɖeka kple ame siwo dze aglã ɖe David ŋu ."
"For we which have believed do enter into rest , as he said , As I have sworn in my wrath , if they shall enter into my rest : although the works were finished from the foundation of the world .","Azɔ , mi ́ ame siwo xɔe se la ge ɖe dzudzɔ ma me abe ale si Mawu ŋutɔ gblɔe ene be , "" Eya ta meka atam le nye dziku me be , womage ɖe nye dzudzɔƒe la me akpɔ o . "" Ke ha ̃ la ewu eƒe dɔ la nu tso xexeame ƒe gɔmedzedzea me ke ."
"Again he denied it with an oath , "" I don 't know the man . ""","Azɔ Petro ka atam be , "" Nyemenya ŋutsu la le afi aɖeke kura kpɔ o ! """
The soldiers then asked each man to sign a paper showing that he had consented to join the army .,Azɔ asrafoawo bia tso amesiame si be wòade asi agbalẽ te atsɔ aɖee fia be yelɔ ̃ be yeage ɖe asrafoawo me .
"Then he said to them : "" ' Cast the net on the right side of the boat and you will find some . '","Azɔ egblɔ na wo be : "" ' Mida ɖɔ la ɖe ʋua ƒe ɖusime , eye miakpɔ lã aɖe . '"
"Also , as a result of having true joy , we will reject a materialistic way of life and will instead seek to make greater personal sacrifices in behalf of God 's Kingdom .","Azɔ hã , ne dzidzɔ vavãtɔ su mía si la , míava kpɔe be menye ŋutilãmenunɔamesiwoe le vevie le agbe me o , eye míatsɔ nu geɖe wu asa vɔe le Mawu Fiaɖuƒea ta ."
