verse_number,english_verse,translation_verse
28,"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Ní Unimbɔti bīiǹ bi-boon ki bí-bi yii: «Ní màal̀ kí bùtī, binib ń gbí kitiŋ. Ní nīn cáá mpɔn kitiŋ pu nì ijɔm nì inoon nì tin kɔkɔ pée fù ti-biŋŋi pu ki bí kitiŋ puee pu!»"
30,"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","Míǹ mbaantiim, m dū timool ki tīī tiwaŋkuti tin bí kitiŋ puee kɔkɔ nì inoon kɔkɔ nì tin kɔkɔ pée fù ti-biŋŋi pu, ki bí kitiŋ pu ki cáá kufoouee án nīn sá tì-jinti.» Ní an ŋá míǹ."
31,"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.","Unimbɔti ká yii tin kɔkɔ u ŋée ŋān̄ tikpil. Ní kunyeeu mɔ́ ní kutaa dūu wúntì, ŋwinluluuti dal dee."
1,So the heavens and the earth and everything else were created. The Seventh Day,"Míǹ ní Unimbɔti náań kutagbɔŋu nì tin kɔkɔ bí ku-puee, ní ki náań kitiŋ nì tin kɔkɔ bí ki-puee ki dóò."
2,"By the seventh day God had finished his work, and so he rested.","Unimbɔti túń u-tuuŋŋi ki dóò, ní ŋwinluluútee, u kāl̀ ki ŋūŋfì atuun ŋin kɔkɔ u ŋée pu."
3,"God blessed the seventh day and made it special, because on that day he rested from his work.","Míǹ puee Unimbɔti bīiǹ ŋwinluluútee pu ní ki gāntì-ŋu ki síiǹ u-ba, kun puee ŋwiin gbanti ní u kāl̀ ki ŋūŋfì atuun ŋin kɔkɔ u ŋáaǹee pu."
4,"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Kutagbɔŋu nì kitiŋ náantam nín kíĺ puee dee. Eedeen kpaabun bɔti Ŋyunti ŋun ti-Dindaan Unimbɔti nyántì kitiŋ nì kutagbɔŋuee,"
5,"no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land.","kisubiki báà kiba kaa nìn dáá nyáń kitiŋ pu, ní kumoou báà kubɔ mun kaa nìn dáá nyáń, kun puee ti-Dindaan Unimbɔti kaa nìn dáá yāntì utaa nìn̄. Unil mun nìn kpá kí kpɔ̀ tikpaal kitiŋ pu."
6,But streams came up from the ground and watered the earth.,Ama kitiŋ taapu ní nnyim nìn nyēeń ki sɔ̀ŋkī an kɔkɔ.
7,"The Lord God took some soil from the ground and made a man. God breathed life into the man, and the man started breathing.","Ti-Dindaan Unimbɔti dū ntam ní ki máń unil, ní ki púfì ŋfam ki ŋá u-maŋfataabuŋyin, ní u kpántì unifoo."
8,"The Lord made a garden in a place called Eden, which was in the east, and he put the man there.","Ní ti-Dindaan Unimbɔti náań isufi kpaabu Eedeen tiŋki poon, bu bí ŋwìiń nyalaŋki pú, ní ki dū unil un u máńee ki kāaǹ bukpaayee poon."
9,The Lord God filled the garden with all kinds of beautiful trees and fruit trees. Two other trees were in the middle of the garden. One of these gave life—the other gave the wisdom to know the difference between right and wrong.,"Ti-Dindaan Unimbɔti yāntì isufi in biliŋ ŋān̄ ŋkpèé nì diŋmɔlee nyáń ki bí i-ba i-ba, ní busubu bun tìì dimaŋfalee nì bun yàntī bi béetí tiŋan nì tikpitilee yú bukpaayee kansikin."
10,"From Eden a river flowed out to water the garden, then it divided into four rivers.",Ní mbun ŋubɔ nyēeń Eedeen tiŋkin ki sɔ̀ŋkī bukpaayee. Bukpaayee poon ní mbunee cúu yākatì abuntaa anaa.
11,"The first one is the Pishon River that flows through the land of Havilah,",Dibuntaapeekaal ní bi yíì Piisɔn. Díǹ di māntìi tú Afiila tiŋki kin poon ní sindaariya bée.
12,"where pure gold, rare perfumes, and precious stones are found.","Kitiŋ gbanti sindaariyau sá umɔnti ní, ní talaalu un bi yíì bideeliyoomee nì ataŋkpamɔnti ŋin bi yíì soowamee bí niin."
13,The second is the Gihon River that winds through Ethiopia.,Dibuntaaliliitiilee ní bi yíì Giiyɔn. Díǹ di māntìi tú Kusa tiŋki kɔkɔ.
14,"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.","Bi nìn yíì dibuntaatataatiilee yii Tiiga. Díǹ di pùubìń Asuur tiŋkin, ŋwìiń nyalaŋki pú. Dibuntaananaatiil ní bi yíì Eefiraati."
15,The Lord God put the man in the Garden of Eden to take care of it and to look after it.,Ní ti-Dindaan Unimbɔti dū unil ki kāaǹ Eedeen kpaabun ú nīn kù-bu kí nīn kpèé-bu.
16,"But the Lord told him, “You may eat fruit from any tree in the garden,","Ní ti-Dindaan Unimbɔti síiǹ unil mara nee yii: «A ŋūǹ kí ŋmɔ́ isufi in yú bukpaanee kɔkɔ biliŋ,"
17,"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”","ama busubu bun bil a yaa ŋmɔ́ a làá béé tiŋan nì tikpitilee ní á taa ŋmɔ́. Daliŋkin a yaa ŋmɔ́ busubu gbanti bilee, a làá kpú ní.»"
18,"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”",Ní ti-Dindaan Unimbɔti bí yii: «An kaa ŋān̄ unil ń nīn bí u-baba míǹ. M làá náań un làá nīn tútúǹ-uee kí ŋàl̄-u.»
21,"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,",Ní ti-Dindaan Unimbɔti yāntì ŋgeembiim miba dɔ́miń ki cúú unil ní u gèen̄. Ŋyunti ŋun u bíi gèeǹee ní ti-Dindaan lēē u-takakalkpabil diba ní ki fātìi dūu bīiǹ.
22,"the Lord made a woman out of the rib. The Lord God brought her to the man,",Ti-Dindaan Unimbɔti dū ditakakalkpabil din u lēē unilinee ki máń unimpu ní ki cáań-u unil cee.
23,"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Ní unil bí yii: «Kpèè min bí nee, m-kpabiŋ kpabil sèé, m-wunnanti nanti sèé. Un bí nee ní bi làá nīn yíì unimpu. Kun puee uninjan ní bi lēeń-u.»"
24,"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.","An pu ní uninja dāa nyēē u-ba kaa ti bí u-baa nì u-na cee ní u nì u-nimpuu ń kɔ́ tɔbin, ní kí kpántí ŋwuŋgbambaanti."
25,"Although the man and his wife were both naked, they were not ashamed.",Uninja nì unimpu nìn pée bí dicancaŋgbeel ní kaa nìn cáá tɔb pu icoo.
1,"The snake was sneakier than any of the other wild animals that the Lord God had made. One day it came to the woman and asked, “Did God tell you not to eat fruit from any tree in the garden?”",Ukoobu di nìn nyí diŋmatindi ipeel in ti-Dindaan Unimbɔti nìn náańee kɔkɔ kansikin. Dalbee ní u dɔ́miń ki bí unimpu yii: «Tiŋman ní Unimbɔti lafun lī yii ní taa ŋmɔ́ bukpaa nee poon subiliŋaaa?»
2,"The woman answered, “God said we could eat fruit from any tree in the garden,",Ní unimpu kíí-u yii: «Ti ŋūǹ kí ŋmɔ́ isufi in yú bukpaa poonee biliŋ.
3,"except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”","Ama busubu bun yú bukpaa kansikinee bil ní Unimbɔti bí yii tí taa ŋmɔ́ kí taa gbēē-bu, an yaa sá fám ti làá kpú.»"
4,"“No, you won't!” the snake replied.","Niinee ní ukoobu bí unimpu yii: «Kaa sá míǹ, naa làá kpú."
5,"“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”","Di sá Unimbɔti nyí yii daliŋkin ni yaa ŋmɔ́ busubu gbanti bilee, ni-nimbiliŋ làá ŋúbití ní ní nīn kíǹ ki nyí tiŋan nì tikpitil kii úǹ Unimbɔti nín nyí puee.»"
6,"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too.","Unimpu mun ká yii busubuee bil ŋān̄ ki mɔ̄ diŋmɔl, ki cáá nnimbitaataam, ki lafun máaǹ kí ŋúbití unil nimbiliŋ, ní u kītì ki ŋmɔ́. U-cal bí u-cee ní u tīī u mun ní u ŋmɔ́."
7,"At once they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to cover themselves.","Niinee ní bi-liitil nimbiliŋ cúu ŋúbitì ní bi ká yii bi bí dicancaŋgbeel, ní bi tīfì busubu bun bi yíì fiigee faati ki ŋáĺ ki dūu lōoǹ."
8,"Late in the afternoon, when the breeze began to blow, the man and woman heard the Lord God walking in the garden. So they hid behind some trees. Sin Brings a Curse",Kujoou jóotì kubuŋu bíi jītí fílfilee ní bi gbìl̄ ti-Dindaan Unimbɔti pu u bí ki còom̄ bukpaan. Ní bi sáǹ ki bál̀-u bukpaayee sufii kansikin.
9,"The Lord God called out to the man and asked, “Where are you?”",Ní ti-Dindaan Unimbɔti yíiń uninja yii: «A bí la ní?»
10,"The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”","Ní u kíí-u yii: «M nín bí bukpaan ki gbìl̄ a-puee ní m fāŋkì, kun puee m bí dicancaŋgbeel, an pu ní m bál̀.»"
11,“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”,Ní ti-Dindaan Unimbɔti bí-u yii: «Ŋma tùkū-si yii a bí dicancaŋgbeel? Àá a ŋmɔ́ busubu bun bil m kpáafì-si yii á taa ŋmɔ́ee ní?»
12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”",Ní uninja kíí-u yii: «Unimpu un a cáań ki ŋàl̄-mee di kītì disubil gbanti ki tīī-mi ní m ŋmɔ́.»
13,"The Lord God then asked the woman, “What have you done?” “The snake tricked me,” she answered, “and I ate some of that fruit.”",Ní ti-Dindaan Unimbɔti bí unimpu yii: «Ba di yì-tì ní a ŋá míǹ?» Ní unimpu kíí-u yii: «Ukoobu di kíil̀-mi ní m ŋmɔ́.»
14,"So the Lord God said to the snake: “Because of what you have done, you will be the only animal to suffer this curse— For as long as you live, you will crawl on your stomach and eat dirt.","Ní ti-Dindaan Unimbɔti bí ukoobu yii: «An nín ŋá pu ní a ŋá mimmee, m tɔ́-si mbusu tiwaŋkuti nì ipeel kɔkɔ kansikin. A làá nīn kíǹ ki fù a-bindi pu ní. A-jinti di làá nīn kíǹ ki sá ŋkpɔŋkpɔm kí tin sāā a-kúm dal."
15,"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”","M làá náań kudɔ̀ŋu kí bíĺ sii nì unimpu kansikin, kí bíĺ a-maaliŋu nì u-maaliŋu kansikin. U-maaliŋu làá dāá tāā kí mátí a-yil, ní sii ń dāá jú úǹ tagbíndi.»"
16,"Then the Lord God said to the woman, “You will suffer terribly when you give birth. But you will still desire your husband, and he will rule over you.”","Ní u bí unimpu yii: «A nín ŋá miŋyee, m làá gbéeǹ-si timatíǹdi gìńdi. Nì falaa ní a làá nīn màal̀ a-biyaamu. A-cal neeliŋu làá nīn pée cáá-si, ama úǹ di làá nīn cáá sii pu mpɔn.»"
17,"The Lord said to the man, “You listened to your wife and ate the fruit I told you not to eat. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food.","Ní ki bí uninja yii: «A nín ŋá pu ki pílifì a-nimpuu nyɔkɔ ní ki ŋmɔ́ busubu bun bil man kpáafì-si yii á taa ŋmɔ́ee, a-puee m tɔ́ kitiŋ mbusu. A làá nīn ŋáań falaa ní kí nín ká tijin kí jī. Míǹ ní án làá nīn bí-si áli kí tin sāā a-kúm dal."
18,"Your food will be plants, but the ground will produce thorns and thistles.","«Apɔn nì abɔjanaakun di làá nīn nyēē a-kpaabun, a-kpaajinti ní a làá nīn jīǹ."
19,"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","See á tɔ̄ ditundi kí káaĺ kutuntuŋu a-yigbeel pu ní kí wàatī kí nín ká tijin kí jī. Án làá nīn pée bí-si míǹ ní, áli á dāá fàtīí gítí ntam min m lēē ki máń-see poon. Kun puee a sá ŋkpɔŋkpɔm ní ki làá fàtīí gítí ŋkpɔŋkpɔm.»"
20,The man Adam named his wife Eve because she would become the mother of all who live.,"Ní uninja pú u-nimpuu diyindi yii Awa, taapu di sá yii un bí dimaŋfalinee, kun puee úǹ di sá binifoobi kɔkɔ na."
21,Then the Lord God made clothes out of animal skins for the man and his wife.,Ní ti-Dindaan Unimbɔti dū tigban ki lōoǹ Adam nì u-nimpuu.
22,"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","U ŋá míǹ ki dóòyee ní ki bí yii: «Kɔŋkɔnnee, unil kpántì kii ti-kansikin ubɔ dee, ki kíǹ ki nyí tiŋan nì tikpitil. Tí taa yàntī ú ŋmɔ́ dimaŋfal subil kí nīn bí jaanjaan kaa kúù.»"
23,"So the Lord God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made.",Niinee ní ti-Dindaan Unimbɔti jìn̄-u Eedeen kpaabun ú cù kí nīn kù kitiŋ kin pu bi lēē ki máń-uee.
24,"Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree.","U jìn̄ unil mimmee ní ki cáań keerubimbi ki yóoǹ bukpaayee nyɔkɔpu ŋwìiń nyalaŋki pú, bi ŋúb́ kitàataajiki ki fīintí an ŋmóò làka laka, ki yú dimaŋfal subu saŋŋu pu ki cí-ŋu."
1,"Adam and Eve had a son. Then Eve said, “I'll name him Cain because I got him with the help of the Lord.”","Adam béè u-nimpuu Awa ní u cáá dipool ki màl̄ Kaayeen, ní ki bí yii: «Ti-Dindaan tútúǹ-mi m màl̄ kibininjabiki.»"
2,"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land.","Míǹ boonee ní u gíti cáá dipool ki màl̄ Kaayeen naal Abeel. Abeel wíiǹee ní ki bíi kpàá tiwaŋkuti, ní u-maan Kaayeen úǹ kù tikpaal."
3,"One day, Cain gave part of his harvest to the Lord,",An dāa bāań ŋyunti ŋubɔee ní Kaayeen lēeń u-kpaajinti ki cáań ki ŋá ti-Dindaan saraa.
4,"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,","Ní Abeel mun lēeń apibil ŋin u-piii iba péé ki màl̄ee ní ki dū ŋi-nanti tin cáá ŋkpamee ki ŋá ti-Dindaan saraa. Ní ti-Dindaan fōō Abeel nì u-saraau,"
5,but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"ama ní ki fātì u-boon ki tīī Kaayeen nì u-saraau. An puee ní Kaayeen fōō diŋuul tikpil, u-nimbiin cúu bíil̀."
6,The Lord said to Cain: What's wrong with you? Why do you look so angry?,"Ní ti-Dindaan bí Kaayeen yii: «Ba ŋá ní a fōō diŋuul, a-nimbiin cúu bíil̀ mimmee?"
7,"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","A yaa bàà ŋá tin ŋān̄ee, a-yil bàà gáań ní. A yaa kaa ŋá tin ŋān̄ee, ikpiti kpátì ki dɔ̄ a-punyɔkɔpu ki nyàab̀-si, ama sii pɔ̄ɔkiǹ-i.»"
8,"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.",Niinee ní Kaayeen sòon̄ nì u-naal Abeel. Ŋyunti ŋun bi bí kusaaunee ní Kaayeen cúú u-naal Abeel ki kūū.
9,"Afterwards the Lord asked Cain, “Where is Abel?” “How should I know?” he answered. “Am I supposed to look after my brother?”",Ní ti-Dindaan bālifì Kaayeen yii: «A-naal Abeel bí la?» Ní u kíí-u yii: «Maa nyí. Man di cí m-naalaaa?»
10,"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.",Ní ti-Dindaan bí-u yii: «Ba ní a ŋée! A-naal fatikuu di gbáàń ibiil taapu ki dāa bāań man nee.
12,"When you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place.","A yaa ti kùn̄ee, kitiŋ kaa làá ti lòoǹ. A làá nīn kíǹ ki tú ki yìiǹ an kɔkɔ ní kitiŋ pu.»"
13,“This punishment is too hard!” Cain said.,"Ní Kaayeen bí ti-Dindaan yii: «Óo, m-yìntitam gìńdi nyìmiǹ-mi maa ŋūǹ kí túń."
14,"“You're making me leave my home and live far from you. I will have to wander about without a home, and just anyone could kill me.”","A yaa jìn̄-mi díǹ nee kitiŋ pu an sá yii ḿ nīn cá ndandati kí taa nín̄ pìlīǹ-si, kí nīn tú ki yìiǹee, ubɔ yaa ká-mee, see ú kpɔ̀-mi.»"
15,“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"Ní ti-Dindaan bí-u yii: «Aayee! Un di yaa kūū Kaayeeŋyee, bi làá téeǹ udaan min min u ŋée miluli pu ní.» Ní ti-Dindaan ŋá u-pu kudaaŋŋu kubɔ yii ubɔ yaa ká-uee, ú taa kpɔ̀-u."
16,"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People","Ní Kaayeen búntì ndandati kaa ti pìl̄ ti-Dindaan, ki tin kóòń kitiŋ kin bi yíì Noodee. A yaa bí Eedeenee, kì bí ŋwìiń nyalaŋki pú ní. Kaayeen naantiibi bɔti"
17,"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.","Kaayeen cáá unimpu, ní u cáá dipool ki màl̄ Eenɔki. Boonee ní u máń adiin ní an dūu kpántì kitiŋ, ní u dū u-jipɔɔn yindi Eenɔki ki pú-kì."
18,"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.","Ní Eenɔki màl̄ Yiraadi, ní Yiraadi màl̄ Meewujayeel, ní Meewujayeel màl̄ Meetukayeel, ní Meetukayeel màl̄ Leemeeki."
22,"Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.",Ní Siila mun màl̄ Tubaal-Kaayeen. Úǹ di nìn sá ucaa ki cáá tikúti nì tasab ki mɔ́ɔ̀ tiwan nì titɔntɔŋwan kɔkɔ. Naama di nìn sá Tubaal-Kaayeen niisal.
23,"One day, Lamech said to his two wives, “A young man wounded me, and I killed him.","Ní Leemeeki bí u-nimpoobi yii: «Ada nì Siila, pīlifìmaan-mi! M-nimpoobi, kpòom̄maan ni-tafaliŋ kí pīlifì tin m làá sòoǹee! Bi ŋá-mi tiweendi ní m kūū unil. Tiweendi tin bi ŋá-mee puee, m kūū kibiki."
24,Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Bi làá tɔ̀ Kaayeen pɔntooŋyi ŋfunyɔm miluli pu, ní kí tɔ̀ man Leemeeki pɔntooŋyi ŋfunyɔm mita kpá imuŋku inaa pu.»"
25,"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Adam nì u-nimpuu gíti kpáfì ní u-nimpuu cáá dipool ki màl̄ kibininjabiki ní ki pú-kì diyindi yii Seeti, ki bí yii: «Unimbɔti gíti tīī-mi kibininjabiki ki téeǹ Abeel un Kaayeen kūūyee yil pu.»"
26,"Later, Seth had a son and named him Enosh. About this time people started worshiping the Lord.",Ní Seeti mun màl̄ kibininjabiki ní ki pú-kì diyindi yii Eenɔsi. Ŋyunti gbanti ní binib kíĺ ki kíǹ ki yíì Unimbɔti yii ti-Dindaan.
2,"God created men and women to be like himself. He gave them his blessing and called them human beings. The following is a list of the descendants of Adam, the first man:",Uninja nì unimpu ní u nìn náań. U nìn bīiǹ bi-boon ní ki pú-bi diyindi yii unil.
24,and God took him away at the age of,"Eenɔki nìn nóó Unimbɔti deedee, an puee Unimbɔti yōoǹ-u baa ti ká-u."
29,"Lamech said, “I'll name him Noah because he will give us comfort, as we struggle hard to make a living on this land that the Lord has put under a curse.”",U nìn pú-kì diyindi yii Noowa ní ki bí yii: «Un bí nee di làá cáań-ti dipɔɔsɔŋkil ti-Dindaan nín tɔ́ kitiŋ mbusu ti kɔ́ agìŋ́kpaan ŋin poonee.»
3,"Then the Lord said, “I won't let my life-giving breath remain in anyone forever. No one will live for more than",Ní ti-Dindaan bí yii: «Maa làá yàntī kufoou kun m ŋá unilinee ń nīn bí u-ni ki cá jaanjaan. Kun puee u sá tiwun ní ki bí iwɔfin. Waa làá yúntí kí jītí abin dilaataal nì mmuŋku pu.»
4,The children of the supernatural beings who had married these women became famous heroes and warriors. They were called Nephilim and lived on the earth at that time and even later.,Tinikpaandi nìn bí kitiŋ pu ŋyunti ŋun Unimbɔti jipɔmbi dɔ́miń ki cáá binifoobi sapɔmbi ki màl̄ mbiyaamuee. Míǹ boonee bi nìn gbíntì ki bí. Bíǹ di nìn sá bijanjaliibi bin nìn nyáń diyindi cannaakuee.
5,The Lord saw how bad the people on earth were and that everything they thought and planned was evil.,Ti-Dindaan nìn ká yii binib kpitii mɔ̀tīi wīintí kitiŋ pu. Baabadalee tibɔkpitil ŋma di nìn gbí bi-pɔbiliŋ poon bi dàkafī.
