verse_number,english_verse,translation_verse
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”",Kede be kaman nɛ Ebɔrɛ naŋ kaŋɛ: “Shin nɛ asɔ futeso be yiri yiri e sɔ nchuana na to nseŋ shin nɛ mbuibiana malɛ e sɔ esoso a firgi.”
21,"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.",E ka kaŋɛ loŋ na nɛ e to nchu to be asɔ futeso gboŋgboŋiana be yiri yiri kikɛ nɛ kusɔ futeso be yiri kama nyam nɛ k wɔ nchu to nseŋ naŋ to mbuibi be yiri yiriana kikɛ verr. Loŋ ka wora na nɛ Ebɔrɛ wu fanɛ k walɛ.
22,Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,Ndoŋ nna nɛ Ebɔrɛ nɛfa asɔ na kikɛ nyam nseŋ kaŋɛ: “Men baa wɔtɔ a kurge nsaa to a bure bibi n salga to n sɔ nchuana to nɛ mbuibiana na malɛ gba e salga to n sɔ durnya to kikɛ verr.”
23,"Evening came, then morning—that was the fifth day. The Sixth Day",Ndoŋ nna nɛ kanyɛ biri nɛ kare chɛ ŋ ki kachɛ lelemu nusopo na.
24,"God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened.","Ndoŋ nna nɛ Ebɔrɛ naŋ kaŋɛ: “Shin nɛ asɔbɔya be yiri yiri e lar a wɔ kasawule so, amo nɛ baa bela nɛ amo nɛ a wɔ kupuŋ to, begboŋi nɛ bewurbi kikɛ nyam.” Nɛ loŋ wora."
25,"God made every one of them. Then he looked at what he had done, and it was good.",Ebɔrɛ ka to amo kikɛ na nɛ e wu fanɛ kusɔ kama walɛ.
26,"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Ade kikɛ be kaman nɛ Ebɔrɛ naŋ kaŋɛ: “Men shin nɛ an to edimɛdi nɛ b baa du fanɛ anyi, nsaa ji eleŋ ashi ekɔrɔtɔ so nɛ mbuibi so nɛ asɔ gbeyesoana so nɛ asɔ belaso na kikɛ so nɛ kasawule kikɛ nyam so.”"
27,So God created humans to be like himself; he made men and women.,Kumo be kaman nɛ Ebɔrɛ to dimɛdi fanɛ mo gbagba be kumu nɛ mo gbagba be kaduli. Enyɛn nɛ eche nɛ e daŋ to bumo.
28,"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.",Ndoŋ nna nɛ Ebɔrɛ nɛfa bumo nseŋ kaŋɛ bumo le: “Men kurge n wora keshi n salga to n sɔ kasawule so kikɛ nsaa ji eleŋ kumo so. Men baa ji eleŋ ekɔrɔtɔ so nɛ mbuibi so nɛ asɔ gbeyeso kikɛ nyam so.”
30,"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",Ama kasawule ere so be asɔbɔya bre kikɛ nɛ mbuibi be yiri yiri kikɛ nɛ asɔ gbeyeso be yiri yiri kikɛ nɛ kusɔ futeso kikɛ nyam bre afitiri nɛ afantaŋ bumbuŋ nɛ n sa amo nɛ a baa la amo be ajibi.” Nɛ loŋ wora.
31,"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.",Ebɔrɛ ka keni asɔ nɛ e wora na kikɛ nɛ e wu fanɛ amo kikɛ walɛ ga. Ndoŋ nna nɛ kanyɛ biri nɛ kare chɛ ŋ ki kachɛ lelemu shesopo na.
1,So the heavens and the earth and everything else were created. The Seventh Day,"To, kananɛ Ebɔrɛ daŋ to esoso nɛ kasawule nɛ kusɔ kama, kebɛso kebɛso loŋ n ya loge nyam nna na."
4,"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","To, kananɛ Enyɛnpe Ebɔrɛ daŋ to esoso nɛ kasawule nna na. E ka daŋ to amo na,"
5,"no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land.",kedibi kama nɛ keduuso jiso kama daa maŋ naŋ kɔr kasawule so. Enyɛnpe Ebɔrɛ malɛ daa maŋ naŋ shin nɛ bɔrɛ ba kasawule so. Dimɛdi kikɛ malɛ daa maŋ wɔtɔ a dɔ kasawule so.
6,But streams came up from the ground and watered the earth.,"Saŋɛ nɛ bɔrɛ daa maŋ naŋ ba na, nchu daa shi kasawule to nna a bul a wushi kasawule na kikɛ nyam."
7,"The Lord God took some soil from the ground and made a man. God breathed life into the man, and the man started breathing.","Enyɛnpe Ebɔrɛ ka daa shin nɛ e to dimɛdi na, e daŋ ta shishɛr nna ashi kasawule so m pɔr enyɛn nseŋ fute ŋkpa be efute n wɔtɔ mbe kamuna to nɛ enyɛn na ki kusɔ futeso."
9,The Lord God filled the garden with all kinds of beautiful trees and fruit trees. Two other trees were in the middle of the garden. One of these gave life—the other gave the wisdom to know the difference between right and wrong.,Enyɛnpe Ebɔrɛ daŋ shin nna nɛ ndibi lela be yiri yiri kɔr n daŋ ashi ndoŋ. Ndibi na nɛ amo be asɔrso malɛ daa walɛ keji nna. Ama ndibi anyɔ ko malɛ daa yil kudɔbi na be nferinto. Loŋ be ndibi na be kuko be asɔrso daa sa ŋkpa nna nɛ kuko malɛ peya daa sa kanyiasheŋ nɛ k bee shin nɛ esa bee pin kelela nɛ kulubi.
11,"The first one is the Pishon River that flows through the land of Havilah,",Loŋ be eboŋ ana na be kumo nɛ k juŋkpar be ketre e daa la Pishon. K daa shile nna a kulti Havila be efuli.
13,The second is the Gihon River that winds through Ethiopia.,Eboŋ nyɔsopo na be ketre e daa la Gihɔn. K daa shile nna a kulti Kush be efuli.
14,"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.",Eboŋ sasopo na be ketre e daa la Tigris. K daa wɔ Asiriya be efuli so be epeŋipetekpa be kaba so nna. Eboŋ nasopo na malɛ be ketre e daa la Yufreetes.
15,The Lord God put the man in the Garden of Eden to take care of it and to look after it.,"To, Enyɛnpe Ebɔrɛ daŋ ta enyɛn na nna n wɔtɔ kudɔbi nɛ baa tre Iden na to fanɛ e baa dɔ ndoŋ nsaa keni kumo so."
17,"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”","ama sa maŋ kaŋ ji kedibi nɛ k bee sa kelela nɛ kulubi be kanyiasheŋ na bre be asɔrso, ŋkpal manɛ so, kachɛ kama so nɛ fo baŋ ji loŋ be kedibi na be asɔrso, shɛŋ maaŋ mɔlga fo ashi luwu to. Abaanaaworasheŋ feeŋ wu.”"
18,"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”",Kede be kaman nɛ Enyɛnpe Ebɔrɛ kaŋɛ: “K maŋ daga fanɛ enyɛn na nawule e baa wɔtɔ. Meeŋ pɔr echɛtopo nɛ e beeŋ kukwe mo n sa mo.”
20,So the Lord took some soil and made animals and birds. He brought them to the man to see what names he would give each of them. Then the man named the tame animals and the birds and the wild animals. That's how they got their names. None of these was the right kind of partner for the man.,"Ndoŋ nna nɛ enyɛn na sa n sa asɔyigeso kikɛ nɛ mbuibi kikɛ nɛ kupuŋ to be asɔbɔya kikɛ amo be atre. Ama echɛtopo nɛ e daa beeŋ kukwe mo ere kanyɛn na bre gbagba, daa maŋ wɔ asɔ na to."
21,"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,",Amoso Enyɛnpe Ebɔrɛ daŋ shin nna nɛ edigboŋ ko pɛ enyɛn na nɛ e di n chul nɛ Ebɔrɛ lara mbe kekentibi ko nseŋ shin nɛ ndoŋ chɛ n ti.
22,"the Lord made a woman out of the rib. The Lord God brought her to the man,",Kumo be kaman nɛ Enyɛnpe Ebɔrɛ ta kekentibi nɛ e lara enyɛn na to na n wora eche nseŋ ta mo m ba sa enyɛn na.
23,"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Ndoŋ nna nɛ enyɛn na kaŋɛ: “Too, naniere bre esa nɛ mbe awibi shi ma awibi to nɛ mbe eyur malɛ gba shi ma eyur to nde. Baaŋ baa tre mo eche, ŋkpal manɛ so, ma to nɛ e shi.”"
24,"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.","Amoso nɛ enyɛn baŋ ta eche, a daga fanɛ e yige mo tuto nɛ mo nio nseŋ ya far n chɛ mbe eche nɛ b ki eyur koŋwule."
25,"Although the man and his wife were both naked, they were not ashamed.","Enyɛn na nɛ mbe eche kikɛ daŋ baa wɔtɔ kayurkpaŋ nna, ama anishinyɔr malɛ daa maŋ kɔ bumo."
1,"The snake was sneakier than any of the other wild animals that the Lord God had made. One day it came to the woman and asked, “Did God tell you not to eat fruit from any tree in the garden?”","Asɔbɔya nɛ Enyɛnpe Ebɔrɛ daŋ to na kikɛ to, kusɔkpaŋ e daa du fanɛ kanansabi a chɔ bumo nɛ b ka na kikɛ. Kachako nɛ kusɔkpaŋ na ba eche na kutɔ m ba bishi mo le: “Ama kashenteŋ nɛ Ebɔrɛ kaŋɛ fanɛ men sa maŋ kaŋ ji kedibi kama be asɔrso nɛ a wɔ kudɔbi ere to a?”"
2,"The woman answered, “God said we could eat fruit from any tree in the garden,","Nɛ eche na kaŋɛ kusɔkpaŋ na: “Ayai, Ebɔrɛ maŋ kaŋɛ loŋ, e yɛ anyeeŋ tiŋ n ji nfe be kedibi kama be asɔrso,"
3,"except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”",ama e yɛ an sa maŋ kaŋ ji kedibi nɛ k yil kakpa ere be nferinto ere bre be asɔrso. E yɛ an sa maŋ beta amo gba kuraa. Nɛ mannɛ aloŋ anyeeŋ wu.”
4,"“No, you won't!” the snake replied.","Ndoŋ nna nɛ kusɔkpaŋ na kaŋɛ eche na: “Abaa, men maaŋ wu."
5,"“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”","Keni, Ebɔrɛ kaŋɛ loŋ nna ŋkpal e ka nyi fanɛ men baŋ ji kumo be asɔrso na menyeeŋ baa pin asheŋ to nsaa du fanɛ Ebɔrɛ gbagba, a nyi kelela nɛ kulubi.”"
6,"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too.","Kusɔkpaŋ na ka kaŋɛ loŋ na nɛ eche na wu fanɛ kedibi na be asɔrso walɛ kenishiso kashenteŋto nseŋ duli asɔ nɛ a beeŋ baa wɔ ebel, amo alɛ naŋ duli asɔ nɛ esa beeŋ ji nseŋ nya kanyiasheŋ. Nɛ amo be kayɛlga ba mo to nɛ e chuge kedibi na be asɔrso na n ji nseŋ ta n sa mo kul nɛ e daa wɔ mo kutɔ na nɛ mo alɛ gba ji."
7,"At once they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to cover themselves.",B ka ji kusɔrso na nɛ bumo benyɔ kikɛ be anishi bugi nɛ b pin fanɛ b na kayurkpaŋ nna. Ndoŋ nna nɛ b chuge kedibi nɛ baa tre figi na be afantaŋ m ba m mata abar n dela.
8,"Late in the afternoon, when the breeze began to blow, the man and woman heard the Lord God walking in the garden. So they hid behind some trees. Sin Brings a Curse",Kumo be kamɔnchɛ kaboŋ ka ya kaa wushito nɛ enyɛn na nɛ mbe eche nu Enyɛnpe Ebɔrɛ be aya be egbri kudɔbi na to nseŋ luri ndoŋ be ndibi to ŋ ŋana mo so.
9,"The Lord God called out to the man and asked, “Where are you?”",Ndoŋ nna nɛ Enyɛnpe Ebɔrɛ tre enyɛn na m bishi mo le: “Fo wɔ nnɛ?”
10,"The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”","Nɛ enyɛn na shuli ŋ kaŋɛ: “N nu fo ka na kudɔbi na to nna nɛ kufu pɛ ma ŋkpal ŋ ka maŋ dela shɛŋ so, amoso nɛ n ya ŋana.”"
11,“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”,Ndoŋ nna nɛ Enyɛnpe Ebɔrɛ bishi mo: “Wanɛ e kaŋɛ fo fanɛ fo maŋ dela shɛŋ? Fo ji kedibi mo nɛ ŋ kaŋɛ fo sa maŋ ji kumo be asɔrso na nna a?”
12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”",Nɛ enyɛn na kaŋɛ: “Eche mo nɛ fo ta n wɔtɔ ŋ kutɔ nfe na e sa ma kedibi na be kusɔrso nɛ n ji.”
13,"The Lord God then asked the woman, “What have you done?” “The snake tricked me,” she answered, “and I ate some of that fruit.”",Ndoŋ nna nɛ Enyɛnpe Ebɔrɛ bishi eche na: “Manɛ be kushuŋ nɛ fo shuŋ loŋ?” Nɛ eche na kaŋɛ: “Kusɔkpaŋ na e fule ma nɛ n ji kusɔrso na.”
14,"So the Lord God said to the snake: “Because of what you have done, you will be the only animal to suffer this curse— For as long as you live, you will crawl on your stomach and eat dirt.","Ndoŋ nna nɛ Enyɛnpe Ebɔrɛ kaŋɛ kusɔkpaŋ na le: “Ŋkpal fo ka wora le ere so, fo nawule e naŋ nya kɔnɔsho asɔ belaso nɛ kupuŋ to be asɔbɔya kikɛ to! Fo epun so nɛ feeŋ baa gbeye nsaa ji shishɛr fo kebaawɔtɔ to kikɛ."
15,"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”",Ma alɛ beeŋ ta kedoŋ n wɔtɔ fo nɛ eche na be nferinto nseŋ naŋ ta kedoŋ n wɔtɔ fo pibi nɛ eche na be kebia to. Eche na be kebia na beeŋ baa bɛa fo kumu to nɛ fo alɛ e baa duŋ mbe kenaŋkuŋ.”
17,"The Lord said to the man, “You listened to your wife and ate the fruit I told you not to eat. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food.","Enyɛnpe Ebɔrɛ ka malga n sa eche na n loge nɛ e kilgi ŋ kaŋɛ enyɛn na malɛ le: “Ŋkpal fo ka nu n sa fo eche n ji kusɔrso nɛ ŋ kaŋɛ fo sa maŋ kaŋ ji na so so, meeŋ sho kasawule ere kɔnɔ ŋkpal fo so. Pɔɛŋ nɛ fo nya n ji, feeŋ baa wɔtɔ nna a ji awurfoŋ a nyɛa kebleŋ ashi fo kebaawɔtɔ to kikɛ."
18,"Your food will be plants, but the ground will produce thorns and thistles.",Kasawule na beeŋ baa kɔr ewi nɛ afitiri kpaŋ ŋkpal fo so; kasawule na malɛ so nɛ feeŋ baa dɔ a ji.
19,"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","Kashenteŋto feeŋ baa nyɛa kebleŋ damta nna pɔɛŋ nsaa ji, hale loŋ nɛ fo naŋ ya bɛta n yɔ shishɛr to, ŋkpal manɛ so, shishɛr na nɛ b ta n pɔr fo. Fo la shishɛr nna, amo alɛ to nɛ feeŋ naŋ bɛta n yɔ.”"
20,The man Adam named his wife Eve because she would become the mother of all who live.,"Enyɛn na be ketre e daa la Adam nɛ mo alɛ nase mbe eche Hawa, ŋkpal manɛ so, mo e naaŋ ba ki bomin kikɛ mo nio."
21,Then the Lord God made clothes out of animal skins for the man and his wife.,Asheŋ na ka ba loŋ na nɛ Enyɛnpe Ebɔrɛ ta asɔbɔya be nwɔl n wora asɔbuuso n sa Adam nɛ mbe eche nɛ b baa buu.
22,"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Kumo be kaman nɛ Enyɛnpe Ebɔrɛ kaŋɛ mbe kumu le: “Ŋkpal kanyɛn ere ka ji kusɔrso na so, naniere e ki fanɛ anyi to be eko nna a nyi kelela nɛ kulubi to, amoso a maŋ daga fanɛ e naŋ nya ekpa n chuge kedibi mo nɛ k bee sa ŋkpa na malɛ be kusɔrso n ji ŋkaa maaŋ naŋ wu kikɛ.”"
23,"So the Lord God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made.",Amoso Enyɛnpe Ebɔrɛ daŋ ju mo ashi Iden be kudɔbi na to nna fanɛ e ya kaa shuŋ kasawule mo nɛ b daŋ ta m pɔr na so.
1,"Adam and Eve had a son. Then Eve said, “I'll name him Cain because I got him with the help of the Lord.”","Kachako nɛ Adam nɛ mbe eche Hawa di keche nɛ kenyɛn nɛ eche na di kedampo ŋ kurge ebinyɛn nɛ b nase mo ketre Keen. Ŋkpal manɛ so, Hawa yɛ: “Enyɛnpe Ebɔrɛ na e chɛ ma to nɛ ŋ kurge ebinyɛn.”"
2,"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land.",B wɔtɔ loŋ nɛ e naŋ ba kurge Keen mo sipo nɛ baa tre mo Eebel. Mbia na ka daŋ nɛ Eebel bee bela mbolpɔ nɛ Keen malɛ bee dɔ.
3,"One day, Cain gave part of his harvest to the Lord,",Kachako nɛ Keen ya bar mbe adɔjibi ko m ba kɛ Enyɛnpe Ebɔrɛ na
4,"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,",nɛ Eebel malɛ bar mbe asɔbɔya to be ewurkoŋfɔlbiana na be eko m ba mɔ nseŋ lara kumo be ebɛaŋ n sa Enyɛnpe Ebɔrɛ na. Ndoŋ nna nɛ Eebel nɛ mbe kakɛ na be asheŋ bɔlɔ Enyɛnpe Ebɔrɛ na kenishi.
5,but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,Ama Enyɛnpe Ebɔrɛ na daŋ kini Keen bre nɛ mbe kakɛ na nna. Keen ka wu loŋ na nɛ e nya agbo n tiŋ to.
6,The Lord said to Cain: What's wrong with you? Why do you look so angry?,Ndoŋ nna nɛ Enyɛnpe Ebɔrɛ na bishi Keen le: “Manɛ e ba nɛ fo nya agbo n tiŋ to loŋ?
7,"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Fo maŋ nyi fanɛ fo daŋ wora nɛnɛ nna asheŋ daŋ beeŋ nyalɛ n sa fo a? Ama ŋkpal fo ka maŋ wora nɛnɛ so, kulubi du fanɛ buluŋ nna a tɛ fo nɛ k jija fo, amoso wora ania m pɔɔ kumo so.”"
8,"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.",Kachako nɛ Keen kaŋɛ mo sipo Eebel fanɛ b yɔ kupuŋ to. Ndoŋ nna nɛ Eebel shuli nɛ mo nɛ Keen yɔ kupuŋ na to. B ka ya fo ndoŋ nɛ Keen tɛ n yuu mo sipo Eebel so m bri mo m mɔ.
9,"Afterwards the Lord asked Cain, “Where is Abel?” “How should I know?” he answered. “Am I supposed to look after my brother?”",Kumo be kaman nɛ Enyɛnpe Ebɔrɛ na bishi Keen: “Fo sipo Eebel wɔ nnɛ?” Nɛ Keen kaŋɛ Enyɛnpe Ebɔrɛ na le: “M maŋ nyi. Ma e naa keni n sipo so a?”
10,"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.","Nɛ Enyɛnpe Ebɔrɛ naŋ bishi Keen le: “Manɛ be kushuŋ nɛ fo shuŋ le ere? Keni, n wu kananɛ fo mɔ fo sipo nɛ mbe ŋklaŋ nɛ a wurge kasawule du fanɛ dimɛdi a shu a ŋini ma fanɛ m bishi kuwule n sa mo."
11,"And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm it again.",Ŋkpal fo ka mɔ fo sipo so n sho fo kɔnɔ nsaa ju fo ashi kasawule nɛ k nuu fo sipo na be ŋklaŋ na so.
12,"When you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place.","Fo naŋ dɔ kumo so gba, fo maaŋ nya shɛŋ. Yili kabre a yɔ fo maaŋ baa kɔ epe, feeŋ baa la efɔ nna a na chamcham durnya ere to.”"
14,"“You're making me leave my home and live far from you. I will have to wander about without a home, and just anyone could kill me.”","Keni, naniere fo ju ma ashi kasawule ere so nɛ e na durnya ere to chamcham. Ma alɛ maaŋ naŋ tiŋ m ba fo anishito gba. Amoso esa kama nɛ e tu ma kaplɛkama beeŋ mɔ ma.”"
15,“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"N doŋ nna nɛ Enyɛnpe Ebɔrɛ na kaŋɛ Keen: “Ayai, mannɛ aloŋ nna, esa kama nɛ e mɔ fo, meeŋ bishi amodoŋwura kumo be kuwule ale shunu.” Kede be kaman nɛ Enyɛnpe Ebɔrɛ na dulgi Keen, saŋɛ na so esa kama nɛ e tu mo kaplɛkama maaŋ mɔ mo."
16,"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People",Ndulgi na be kaman nɛ Keen lar Enyɛnpe Ebɔrɛ na kutɔ n ya kaa wɔ Nɔd be kasawule so. Ndoŋ daa wɔ Iden be epeŋipetekpa be kaba so nna.
17,"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.",Keen ka ta eche nɛ mo nɛ mo di kenyɛn nɛ keche nɛ eche na di kedampo ŋ kurge ebinyɛn n nase mbe ketre Inɔk. Kakurge na be kaman nɛ Keen fara kade nseŋ ta mbe kebia na be ketre n nase kade na.
18,"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.",Inɔk ka daŋ nɛ e ta eche ŋ kurge Irad nɛ Irad malɛ koso ŋ kurge Mehujaɛl nɛ Mehujaɛl malɛ kurge Metushaɛl nɛ Metushaɛl malɛ kurge Lamɛk.
21,"Lamech and Adah had two sons, Jabal and Jubal. Their son Jabal was the first to live in tents and raise sheep and goats. Jubal was the first to play harps and flutes.",Mo sipo be ketre e daa la Jubal. Jubal ere e daŋ fara a laŋ alaŋsɔ fanɛ keklaŋ nɛ kalopi.
22,"Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.",Lamɛk be eche nyɔsopo nɛ b daa tre Zila na malɛ e daŋ kurge Tubalkeen. Mo alɛ daa la bɔyɛpo nna nɛ esa nɛ e daŋ fara n ta epal nɛ abɛlso be yiri yiri n lɔŋɛ ashuŋsɔ. Tubalkeen mo sipoche nɛ b daa tre Naama.
24,Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Ebɔrɛ kaŋɛ fanɛ esa kama nɛ e mɔ Keen, amodoŋwura beeŋ nya loŋ be kulubi na be kuwule be kebishi ale shunu so. Ama nɛ esa mɔ ma ere Lamɛk, kumo be kuwule beeŋ baa la ela adushunu nɛ ashunu nna.”"
25,"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Ndoŋ nna nɛ Adam nɛ mbe eche naŋ di keche nɛ kenyɛn nɛ eche na di kedampo ŋ kurge ebinyɛn nɛ b nase mo ketre Sɛt. Nɛ Adam be eche yɛ: “N nase mo loŋ nna, ŋkpal manɛ so, Ebɔrɛ naŋ sa ma ebinyɛn nna n tal Eebel nɛ Keen mɔ na to.”"
26,"Later, Seth had a son and named him Enosh. About this time people started worshiping the Lord.",Sɛt malɛ ka daŋ nɛ e ta eche ŋ kurge ebinyɛn nseŋ nase mo ketre Inɔsh. Kumo be jemanɛ so nɛ basa fara a shuŋ Enyɛnpe Ebɔrɛ na nsaa bunyaŋ mo.
