verse_number,english_verse,translation_verse
19,"Evening came, then morning—that was the fourth day. The Fifth Day",Le ni ki joor ki ki woln kichakpiik ni. Winaa daal le na.
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Uwumbɔr nan ki bui ke, “Ijan mɔk aabɔŋ, ni tiwanfuurkaan mɔmɔk aabɔŋ naan, ki li bi nnyun ni ki li wiir. Inyoon mu mɔmɔk aabɔŋ li bi ki laani paacham.”"
21,"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.","Uwumbɔr nan naan ijasakpiin, ni iwaatiir, ki kpee tiwanfuurkaan mɔk aabɔŋ ki di ŋa nnyun ponn ni, ki naan inyoon aabɔŋ i li laani paacham. U nan kan ke ni ŋan."
22,Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"U nan ŋa tinyoor ŋa ni pu, ki bui ke nnyun ni aawan maa, paacham mu aawan too, ki li moo pɔr kpae."
23,"Evening came, then morning—that was the fifth day. The Sixth Day",Le ni ki joor ki ki woln kichakpiik ni. Winŋmu daal le na.
24,"God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened.","Uwumbɔr nan ki bui ke, “Tiwakor, ni ipeel, ni tiwan ni mɔmɔk baar na, ni ye nisakpiin, ni niwaatiir na, naan ki li bi kitiŋ pu.” Le ni ŋa kina."
25,"God made every one of them. Then he looked at what he had done, and it was good.","Uwumbɔr nan naan tiwan ngbaan mɔmɔk, le waah nan kan nimɔk na, ni ŋan u chee."
26,"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Uwumbɔr nan ki bui ke, “Cha ti naan binib, bi li bi ke timi na, ki li naahn timi. M ga tii bi mpɔɔn, bi li lik ijan, ni inyoon, ni ipeel, ni tiwakor, tisakpiin ni tiwaatiir mɔmɔk pu.”"
27,So God created humans to be like himself; he made men and women.,"Uwumbɔr nan naan binib ki di naŋ ubaa. U nan naan uja ni upii la,"
28,"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","le ki ŋa tinyoor ŋa bi pu, le ki bui ke, “Maa, ki pɔr, aan ki gbiin kitiŋ kee pu, ki li lik kitiŋ ngbaan. Li kpa mpɔɔn ijan, ni inyoon, ni tiwan nimɔk fu ki baar kitiŋ pu na.”"
29,I have provided all kinds of fruit and grain for you to eat.,"Uwumbɔr nan ki bui ke, “M di njikaabim, ni isui i lu ŋisubil na mɔmɔk ki di tii nimi, ni li ji,"
30,"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","ki di mmobim ni tisufar di tii ipeel, ni tiwakor, ni tiwan nimɔk fu ki baar kitiŋ na, ni inyoon, ni li ji ki li ŋmɔ.” Le ni ŋa kina."
31,"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.","Le Uwumbɔr nan lik ki kan ke waah ŋa tiwan nimɔk na ŋan pam. Le ni ki joor, ki ki woln kichakpiik ni. Winloob daal le na."
1,So the heavens and the earth and everything else were created. The Seventh Day,"Kina le Uwumbɔr nan naan kitaapaak, ni kitiŋ, ni tiwan mɔmɔk doo."
2,"By the seventh day God had finished his work, and so he rested.","Winlole daal, le Uwumbɔr nan tun lituln mɔmɔk doo, ki kal fuur."
3,"God blessed the seventh day and made it special, because on that day he rested from his work.","Uwumbɔr nan ŋa tinyoor ŋa winlole daal pu ki ŋa mu chain, ba pu? waah nan naan dulnyaa aawan mɔmɔk doo na, liyaadaal ngbaan le u kal ki fuur."
4,"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Uwumbɔr nan naan dulnyaa aawan mɔmɔk kina la. Edenn Aasaak aabɔr Buyoonn Tidindaan Uwumbɔr nan naan dulnyaa aawan mɔmɔk na,"
5,"no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land.","tiwanpunnkaan ni nwanbim aa nan kee punni, ba pu? Uwumbɔr aa nan kee cha utaal nu, uja mu aa nan bi ki ga ko kisaak;"
6,But streams came up from the ground and watered the earth.,limaln le nan lir kitiŋ pu le ki soon.
7,"The Lord God took some soil from the ground and made a man. God breathed life into the man, and the man started breathing.","Uwumbɔr nan di titan ki di naan uja, le ki fuur libuln ŋa umɔfal ni, le u kpaln unibɔn."
8,"The Lord made a garden in a place called Eden, which was in the east, and he put the man there.","Uwumbɔr nan ŋa isui i lu ŋisubil na aasaak, liwipuul wɔb, Edenn aatiŋ ni, le ki di waah naan uja u na ŋa ki ponn ni."
9,The Lord God filled the garden with all kinds of beautiful trees and fruit trees. Two other trees were in the middle of the garden. One of these gave life—the other gave the wisdom to know the difference between right and wrong.,"Uwumbɔr nan cha isui i lu ŋisubil nyaan na aabɔŋ punn kisaak ngbaan ni, ŋisubil ngbaan ŋan linimbil chee, ki mɔ lijil. Kisaak ngbaan aakaasisik ni, busub bubaa nan bi, ki ye limɔfal aasub, buken mu nan bi ki ye mbeem aasub, unii yaa jin bu kan, u ga bee ni ŋan na, ni ni kaa ŋan na."
10,"From Eden a river flowed out to water the garden, then it divided into four rivers.","Limɔɔl libaa nan bi Edenn aatiŋ ngbaan ni, ki puu lir kisaak ngbaan ni. Limɔɔl ngbaan aah nyan kitiŋ ngbaan ni na, le li yakr ki ŋa ŋimɔɔ ŋinaa."
11,"The first one is the Pishon River that flows through the land of Havilah,","Bi yin njan aapaln ke Pisonn, li nan puu dii Hafila aatiŋ ni la."
12,"where pure gold, rare perfumes, and precious stones are found.","Salmaa nyaan, ni tulalee, ni ŋitakpanyaan le nan bi nima."
13,The second is the Gihon River that winds through Ethiopia.,"Bi yin lelee aapaln ke Gihonn, li nan puu dii Kus aatiŋ ni la."
14,"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.","Bi yin taataa aapaln ke Tigris, li nan puu dii Asiria aawipuul wɔb la; le bi yin linanar ke Yufrates."
15,The Lord God put the man in the Garden of Eden to take care of it and to look after it.,"Uwumbɔr nan di uja ngbaan ŋa kisaak ngbaan ni, ke u li ko, ki li lik kisaak ngbaan."
16,"But the Lord told him, “You may eat fruit from any tree in the garden,","Uwumbɔr nan bui u ke, “Aa ga ŋmaa ji ŋisubil ŋi mɔmɔk bi kisaak kee ponn ni na,"
17,"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”","see busub bu aasubil cha unii beer ni ŋan na, ni ni kaa ŋan na. Aa taa ji busub ngbaan aasubil. Aa yaa jin kan, see aa kpo.”"
18,"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Tidindaan Uwumbɔr nan ki bui ke, “Naa ŋan ke uja li bi ubaa. M ga naan uŋeer u ga li ter u na ki tii u.”"
20,So the Lord took some soil and made animals and birds. He brought them to the man to see what names he would give each of them. Then the man named the tame animals and the birds and the wild animals. That's how they got their names. None of these was the right kind of partner for the man.,"Le uja ngbaan nan yin tiwakor, ni ipeel, ni inyoon, ni tiwan nimɔk fu na aayimbil; tɔ, tiwan ngbaan mɔmɔk ponn ni nibaa aa nan ye uŋeer, ki ga ŋmaa ter u."
21,"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,","Uwumbɔr nan cha uja ngbaan doon geen, ke linikpol na. Waah geen kina na, le u chuu nyan uja ngbaan aasikaakpab mubaa, ki ki giin ŋeeb."
22,"the Lord made a woman out of the rib. The Lord God brought her to the man,","Uwumbɔr nan di nsikaakpab na, ki di naan upii. Uja ngbaan aah finn na, le Uwumbɔr di upii ngbaan dan u chee."
23,"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Le uja ngbaan bui ke, “Aa ye unii le ke maah ye pu na, likpabl li nyan ni maakpab ni na, ni tiwon ti ye maawon na. M ga yin si ke upii, ba pu? aa nyan ni mi uja ni la.”"
24,"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.","Nima pu le ni ŋan ke uja ni upuu nya cha bitetiib ni binatiib, ki kpaan tɔb chee, ki ŋa unibaan."
25,"Although the man and his wife were both naked, they were not ashamed.","Le uja ni upii nan chuun biŋmeen, kaa san inimɔɔn."
1,"The snake was sneakier than any of the other wild animals that the Lord God had made. One day it came to the woman and asked, “Did God tell you not to eat fruit from any tree in the garden?”","Uwumbɔr aah nan naan ipeel imɔk na, uwaa le nan kpa nlan ki jer i mɔmɔk. Le u baa upii ngbaan ke, “Uwumbɔr sil bui ke ni taa ji kisaak ngbaan ni aasub bubaa aasubil aa?”"
2,"The woman answered, “God said we could eat fruit from any tree in the garden,","Le upii ngbaan bui u, “Ti ga ŋmaa ji ŋisubil ngbaan mɔk,"
3,"except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”","see busub bu si kaasisik ni na, le Uwumbɔr bui ke ti taa ji bu aasubil, hali ti yaa meeh ŋi kan, ti ga kpo.”"
4,"“No, you won't!” the snake replied.","Le uwaa bui ke, “Naa ye mbamɔn, naan kpo."
5,"“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”","Uwumbɔr nyi ke ni yaa jin ŋi kan, ninimbil le ga woln, le ni ga bee ni ŋan na, ni ni kaa ŋan na, ki ga li bi ke waah bi pu na.”"
6,"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too.","Le upii lik ŋisubil ngbaan, ki kan ŋaah ŋan pu na, ki dakl ke unimbil yaa woln kan, ni ga li ŋan sakpen, le ki neen ŋi, le ki ker ŋi ki moo, le ki di ŋiken tii uchal mu, le u mu moo."
7,"At once they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to cover themselves.","Baah moo ŋi doo na, le binimbil daa woln, le bi bee ke bi chuun biŋmeen la, nima pu na, le bi bar tifar ki di doŋ binimbiin ni."
8,"Late in the afternoon, when the breeze began to blow, the man and woman heard the Lord God walking in the garden. So they hid behind some trees. Sin Brings a Curse","Kijook ngbaan le bi ŋun Tidindaan Uwumbɔr chuun kisaak ni, le bi san ti bɔr isui aakaasisik ni."
9,"The Lord God called out to the man and asked, “Where are you?”","Le Tidindaan Uwumbɔr yin uja ngbaan ke, “Aa bi la?”"
10,"The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”","Le uja bui u ke, “M ŋun saah chuun kisaak ni pu na; le maah chuun ŋŋmeen na, ijawaan chuu mi, le m bɔr.”"
11,“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”,"Le Uwumbɔr baa u ke, “Ŋma tuk si ke aa chuun aaŋmeen? Maah bui si ke aa taa ji ŋisubil ŋi na, le aa jin aa?”"
12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”","Le uja bui u ke, “Saah di upii u tii mi ke u li bi m chee na, uma le tii mi ŋisubil ngbaan, le m moo.”"
13,"The Lord God then asked the woman, “What have you done?” “The snake tricked me,” she answered, “and I ate some of that fruit.”","Le Uwumbɔr baa upii ngbaan ke, “Ba ŋa aa ŋa kina?” Le upii bui u ke, “Uwaa le ŋmann mi, le m moo.” Uwumbɔr aah daa uwaa, ni upii, ni uja aatafal pu na"
14,"So the Lord God said to the snake: “Because of what you have done, you will be the only animal to suffer this curse— For as long as you live, you will crawl on your stomach and eat dirt.","Le Uwumbɔr bui uwaa, “Saah ŋa kina na, ipeel mɔmɔk ni, m puun lii sin baanja le pu. Din ki joo cha, aa ga li baar titan ni, ki li ji titan, saamɔfal mɔmɔk ni."
15,"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”","Aa ni upii ngbaan ga li ye tɔb aadim la. Saabim ni waabim mu ga li ye tɔb aadim la. Uyaabil ga faa wii aayil, le aa mu ga gaa utaagbeln.”"
16,"Then the Lord God said to the woman, “You will suffer terribly when you give birth. But you will still desire your husband, and he will rule over you.”","Le Uwumbɔr bui upii ke, “Aa ga kan falaa pam timal ponn ni. Ni ki kpee na, aa ga li ban ke aachal li gee si, le u ga li ye saayidaan.”"
17,"The Lord said to the man, “You listened to your wife and ate the fruit I told you not to eat. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food.","Le Uwumbɔr bui uja ngbaan ke, “Saah ŋun tii aapuu ki yii maamɔb ki jin ŋisubil ngbaan na, m puun lii kitiŋ pu. Aa ga tun ki kan falaa le ki nin kan tijikaar ji."
18,"Your food will be plants, but the ground will produce thorns and thistles.",Kitiŋ ga pa ikokon ni ichakpeejagar; le aa ga li ji timoor ni aasufar.
19,"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","Aa ga ko le kitotoŋ naa si waahr, le aa nin kan tijikaar ki ji, ki ti saa saakundaal. Le aa ga ki gir koo titan ni; ba pu? aa nyan titan ni la. M nan di titan le naan si, le aa ga ki kpaln titan.”"
20,The man Adam named his wife Eve because she would become the mother of all who live.,Adam nan yin upii ke Iif; ba pu? uma le ye binib mɔmɔk aana.
21,Then the Lord God made clothes out of animal skins for the man and his wife.,"Le Uwumbɔr di tiwakor aagban ki di jab, ki ŋa tiwanpeenkaan ki di peen bi. Uwumbɔr aah nan jenn nyan Adam ni upuu kisaak ngbaan ni pu na"
22,"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Tidindaan Uwumbɔr nan bui ke, “Dandana, uja ngbaan ŋa ke timi aah bi pu na, ki bee ni ŋan na, ni ni kaa ŋan na. Taan ki cha u ji limɔfal aasub aasubil mu, aan ki li bi cha n‑yoonn mu kaa kpa ndoon na.”"
23,"So the Lord God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made.","Le Uwumbɔr jenn nyan u Edenn aasaak ngbaan ni, le ki cha u ko waah nyan ni titan ti ponn ni na,"
24,"Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree.","le ki di tiwanfuurkaan ni kpa ifeen na, ki di siin kisaak ngbaan aawipuul wɔb, le ki di mmiigaal mu naahn kijuk ki fenni ŋipepel mɔmɔk na, ki kiir kisaak ngbaan. Nima kan, unii ubaa aan ki pii limɔfal aasub chee."
1,"Adam and Eve had a son. Then Eve said, “I'll name him Cain because I got him with the help of the Lord.”","Adam nan doon upuu chee, le u dek lipuul, ki ma ubijabo, le ki bui ke u kan ubo, Uwumbɔr aaterm pu, nima pu na, u ga yin u ke Kainn."
2,"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land.","Ki joo cha, le Adam aapuu ki dek, le ki ki ma ubijabo, bi yi u ke Abel. Kainn nan ye ukpaal, le Abel mu nan ye upihdaan."
3,"One day, Cain gave part of his harvest to the Lord,","Le n‑yoonn mubaa, Kainn nan chee waajikaar, ki joo ni waajikaar ngem, ki nan tii Uwumbɔr ipiin."
4,"and Abel also gave an offering to the Lord. He killed the first-born lamb from one of his sheep and gave the Lord the best parts of it. The Lord was pleased with Abel and his offering,","Le Abel mu nan lik waapiih ponn ni waapihninkpel aah pue ma njan aapihbo u na, ki di toor kitork, ki di tinann ti kpa nkpan na ki tii Uwumbɔr. Le Uwumbɔr pak Abel ni waapiin,"
5,but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"le ki yii Kainn ni waapiin. Le Kainn gee liŋuul pam, le unimbil wɔb bii."
6,The Lord said to Cain: What's wrong with you? Why do you look so angry?,"Le Uwumbɔr baa u ke, “Ba ŋa aa gee liŋuul? Ba ŋa aanimbil wɔb bii?"
7,"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Aa yaa kaa ba tun titunwanbir kan, maan pak saapiin aa? Tɔ, saah tun taani na, titunwanbir si gbɔk si, ki ban ti di si ŋa taanaagbiija, see aa nyaŋ ti.”"
8,"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Le ni bi cha, le Kainn nan bui unaal Abel ke, [“Cha ti buen timoor ni.”] N‑yoonn mu bi bi timoor ni na, le u ti ku unaal Abel."
9,"Afterwards the Lord asked Cain, “Where is Abel?” “How should I know?” he answered. “Am I supposed to look after my brother?”","Nee aapuwɔb le Uwumbɔr baa Kainn ke, “Aanaal Abel bi la?” Le Kainn bui ke, “Maa nyi. Min le ye u lik u na aa?”"
10,"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.","Le Uwumbɔr ki baa u ke, “Ba ŋa aa ŋa kina? Aanaal aasin bi kitiŋ ki wii, ki mɔk ke sin le ku u."
11,"And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm it again.","M ga daa aatafal. Saan ki ŋmaa ko kitiŋ. Saah ku aanaal na, waasin bii kitiŋ tii si a."
12,"When you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place.","Le aa yaa ki ko kan, kitiŋ aan ŋa tijikaar mbamɔm ki tii si, le aa ga li gonni, ni kookoo, ki ga li ye uchayiin dulnyaa wee ni.”"
13,“This punishment is too hard!” Cain said.,"Le Kainn bui Uwumbɔr ke, “Aa daa ntafal ki ti chaar jer a."
14,"“You're making me leave my home and live far from you. I will have to wander about without a home, and just anyone could kill me.”","Aa nyan mi kitiŋ kee pu a, le ki chuu paar aaŋaal m pu. Maan ki li kpa maah ga koo nin chee na. Le maah ga li ye uchayiin pu na, unii umɔk kan mi na ga ku mi.”"
15,“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"Le Uwumbɔr daan Kainn kidaan, ubaa taa ku u, le ki bui ke unii umɔk yaa ku u na kan, bi ga ku binib bilole le ki teen lipɔln."
16,"But Cain had to go far from the Lord and live in the Land of Wandering, which is east of Eden. More and More People","Le Kainn siir Uwumbɔr chee, ki buen kitiŋ kibaa ni, bi yin ki ke “Chuun Gonni,” ki bi Edenn aawipuul wɔb la. Kainn aamaal"
17,"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.","Kainn aapuu nan dek, ki ma ubijabo, ki yin u ke Enok, le Kainn aah nan bi nin chee na nan ŋa kitiŋ, le u di ujapɔɔn ngbaan aayimbil, ki di yin kitiŋ ngbaan."
18,"Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.","Le Enok mu ma Irad, Irad mu ma Mehujael, Mehujael mu ma Metusael, Metusael mu ma Lamek."
21,"Lamech and Adah had two sons, Jabal and Jubal. Their son Jabal was the first to live in tents and raise sheep and goats. Jubal was the first to play harps and flutes.","Jabal aanaal le bi nan yin u ke Jubal, uyaabitiib le ye binib bi pii ki gbaa tiwan ki joo gaa ilahn na."
22,"Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.","Sila mu nan dek ki ma Tubal‑Kainn, uma le nan ye uchaa. Naama le nan ye Tubal‑Kainn aaninkpan."
23,"One day, Lamech said to his two wives, “A young man wounded me, and I killed him.","N‑yoonn mubaa le Lamek bui upuutiib ke, “Sin Ada ni Sila, li pel maah len pu na man, unachipɔɔn ubaa faa mi, le m ku u."
24,Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Unii yaa ku Kainn aan binib bilole yaa ga kpo ki pa lipɔln ngbaan kan, unii yaa ku m mu kan, binib imonko itaa ni kipiik ni bilole le ga kpo ki pa maapɔln.” Sef ni Enos aabɔr"
25,"Adam and his wife had another son. They named him Seth, because they said, “God has given us a son to take the place of Abel, who was killed by his brother Cain.”","Adam ni upuu nan ki ma ubijabo uken. Le upii ngbaan bui ke, “Uwumbɔr ki tii mi ubijabo u leŋ Abel u Kainn nan ku na aaleleŋ.” Nima pu le u yin u ke Sef."
26,"Later, Seth had a son and named him Enosh. About this time people started worshiping the Lord.",Le Sef mu ma ubijabo le ki yin u ke Enos. N‑yoonn ngbaan le binib piin ki dooni Uwumbɔr aayimbil li bi chain na.
2,"God created men and women to be like himself. He gave them his blessing and called them human beings. The following is a list of the descendants of Adam, the first man:","U nan naan uja ni upii la, le ki ŋa tinyoor ŋa bi pu, le ki yin bi ke “Unibɔn”."
24,and God took him away at the age of,"U nan dii Uwumbɔr mbamɔm, le kaa nan kpo. Uwumbɔr le nan di u buen paacham."
29,"Lamech said, “I'll name him Noah because he will give us comfort, as we struggle hard to make a living on this land that the Lord has put under a curse.”","le ki bui ke, “Uwumbɔr aah puun lii kitiŋ pu na, ubo umina pu, le ti ga kan lifuur timi aafalaa ni,” le ki yin u ke Nowa."
3,"Then the Lord said, “I won't let my life-giving breath remain in anyone forever. No one will live for more than","Le Uwumbɔr bui ke, “Binib aah tun titunwanbir pu na, maan ki cha bi li bi ki yunn sakpen. N‑yoonn mue ki joo cha, maan ki cha unibɔn yunn ki ti jer ŋibin nkub ni moninko.”"
4,The children of the supernatural beings who had married these women became famous heroes and warriors. They were called Nephilim and lived on the earth at that time and even later.,"N‑yoonn ngbaan, ni nee aapuwɔb, le ŋiniwɔk, ni mpɔɔndam, ni bininyuum le nan bi dulnyaa ni. Ŋiniwɔk ngbaan aah nan yoor baah gee bipiib bi na le nan ma bi."
5,The Lord saw how bad the people on earth were and that everything they thought and planned was evil.,"Uwumbɔr nan kan ke unibɔn aatunwanbir wiir ki ti nyaŋ, baalandak nan ye bakaa aalandak ŋmeen,"
6,"He was sorry that he had made them,","nima pu le usui bii sakpen, waah naan unibɔn u na pu."
7,"and he said, “I'm going to destroy every person on earth! I'll even wipe out animals, birds, and reptiles. I'm sorry I ever made them.”","Le u bui ke, “M ga kuln unibɔn, ni ipeel, ni tiwakor, ni inyoon, ni tiwan ni fu na mɔmɔk; ba pu? nsui bii maah naan unibɔn aan u tun titunwanbir ti na pu.”"
8,"But the Lord was pleased with Noah,","Tɔ, Uwumbɔr aasui nan gbiin Nowa aatunyaan pu. Nowa aabɔr"
12,God knew that everyone was terribly cruel and violent.,"Uwumbɔr nan lik dulnyaa, ki kan ke unibɔn aatunwanbir wiir ti nyaŋ."
14,Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out.,"M ban ke aa di ŋikpan ŋi ŋan na ki kpaa buŋɔsakpem, aan ki ŋmar. Ŋa tidir bu ponn ni, aan ki di kootaal boon ponn ni, ni lipaal."
22,Noah did everything God told him to do.,Le Nowa ŋa Uwumbɔr aah bui u pu na mɔmɔk.
17,I'm going to send a flood that will destroy everything that breathes! Nothing will be left alive.,"M ga tun ni nwam dulnyaa wee ni, mu nan bii tiwanfuurkaan mɔmɔk. Tiwan nimɔk bi dulnyaa wee ni na ga kpo."
18,"But I solemnly promise that you, your wife, your sons, and your daughters-in-law will be kept safe in the boat.","Tɔ, m ga puu tipuur tii si. Aa ni aapuu, ni saabim, ni bipuutiib koo buŋɔb ngbaan ni."
20,"Take into the boat with you a male and a female of every kind of animal and bird, as well as a male and a female of every reptile. I don't want them to be destroyed.","Aa di tiwakor, ni ipeel, ni inyoon mɔmɔk aabɔŋ, ni tiwan ni fu na mɔmɔk, nija ni nipii, ki di ŋa buŋɔb ngbaan ni. Ni mɔmɔk ga dan aa chee aan ni mu ŋmar ki taa kpo."
21,Store up enough food both for yourself and for them.,"Ban tijikaar mɔmɔk aabɔŋ, aan aa ni tiwakor, ni ipeel, ni inyoon mɔmɔk li ji.”"
1,"The Lord told Noah: Take your whole family with you into the boat, because you are the only one on this earth who pleases me.","Le Uwumbɔr bui Nowa ke, “Aa ni aapuu, ni aajapɔtiib, ni aabipuutiib, ni mɔmɔk koo buŋɔb ngbaan ponn ni. M kan ke sin baanja le bi dulnyaa wee aanib ponn ni ki ŋani ni ŋan na."
3,Also take seven pairs of every kind of bird with you. Do this so there will always be animals and birds on the earth.,"Aa ki ban inyoon mu, ija ni ipii, ilele, ki ti saa nfum mulole. Ŋa kina aan tiwan ngbaan mu nan ki pɔr, ki li bi dulnyaa wee ni."
9,He obeyed God and took a male and a female of each kind of animal and bird into the boat with him.,"mu nan koo buŋɔb ngbaan ponn ni, Nowa chee, Uwumbɔr aah nan bui ke u ŋa pu na."
10,Seven days later a flood began to cover the earth.,"Iwiin ilole aah jer na, le nwam dan."
12,"The water under the earth started gushing out everywhere, the sky opened like windows, and rain poured down for","le utaal chur lii ni dulnyaa wee ni, iwiin imonko ilee, nwiin pu ni kinyeek."
